algorithm,trial,second,throughput,avg_rtt,p95_rtt,fairness_index,fairness_alive,max_imbalance,h1_conns,h2_conns,h3_conns,h1_sels,h2_sels,h3_sels,h1_rtt,h2_rtt,h3_rtt,h1_alive,h2_alive,h3_alive,decision_latency_us
round_robin,1,0,0,15.252,24.317,1.0,1.0,0,0,0,0,0,0,0,0.011634,0.008396,0.025726,1,1,1,2290.9
round_robin,1,1,1,15.258,24.394,0.3333,0.3333,51,0,0,51,1,0,0,0.011475,0.00847,0.025829,1,1,1,2290.9
round_robin,1,2,1,15.221,24.356,0.6667,0.6667,52,0,0,52,1,1,0,0.011563,0.008322,0.025778,1,1,1,2290.9
round_robin,1,3,11,15.215,24.355,0.9883,0.9883,52,0,0,52,5,4,4,0.011544,0.008322,0.025778,1,1,1,2290.9
round_robin,1,4,1,15.121,24.081,0.9899,0.9899,54,0,0,54,5,5,4,0.011544,0.008346,0.025474,1,1,1,2290.9
round_robin,1,5,11,15.229,24.551,0.9968,0.9968,53,0,0,53,9,8,8,0.011443,0.008236,0.026007,1,1,1,2290.9
round_robin,1,6,1,15.124,24.146,0.9971,0.9971,54,0,0,54,9,9,8,0.011466,0.008351,0.025555,1,1,1,2290.9
round_robin,1,7,11,15.196,24.198,0.9985,0.9985,56,0,0,56,13,12,12,0.011571,0.008415,0.025601,1,1,1,2290.9
round_robin,1,8,1,15.388,24.798,0.9986,0.9986,57,0,0,57,13,13,12,0.011495,0.008394,0.026276,1,1,1,2290.9
round_robin,1,9,11,15.365,24.791,0.9992,0.9992,57,0,0,57,17,16,16,0.011425,0.008394,0.026276,1,1,1,2290.9
round_robin,1,10,1,15.135,24.138,0.9992,0.9992,55,0,0,55,17,17,16,0.011425,0.00843,0.025551,1,1,1,2290.9
round_robin,1,11,11,15.171,24.169,0.9995,0.9995,56,0,0,56,21,20,20,0.011516,0.008423,0.025575,1,1,1,2290.9
round_robin,1,12,1,15.44,24.729,0.9995,0.9995,58,0,0,58,21,21,20,0.011539,0.008587,0.026195,1,1,1,2290.9
round_robin,1,13,11,15.376,24.757,0.9996,0.9996,57,0,0,57,25,24,24,0.011459,0.008434,0.026235,1,1,1,2290.9
round_robin,1,14,1,15.465,24.779,0.9996,0.9996,58,0,0,58,25,25,24,0.011821,0.008356,0.026219,1,1,1,2290.9
round_robin,1,15,11,15.569,24.81,0.9997,0.9997,58,0,0,58,29,28,28,0.012132,0.008356,0.026219,1,1,1,2290.9
round_robin,1,16,1,15.684,25.113,0.9997,0.9997,60,0,0,60,29,29,28,0.012132,0.008364,0.026555,1,1,1,2290.9
round_robin,1,17,11,15.317,24.508,0.9998,0.9998,61,0,0,61,33,32,32,0.011589,0.008418,0.025943,1,1,1,2290.9
round_robin,1,18,1,15.413,24.798,0.9998,0.9998,59,0,0,59,33,33,32,0.011546,0.008423,0.02627,1,1,1,2290.9
round_robin,1,19,11,15.315,24.545,0.9998,0.9998,60,0,0,60,37,36,36,0.011554,0.008402,0.025988,1,1,1,2290.9
round_robin,1,20,1,15.648,24.789,0.9998,0.9998,62,0,0,62,37,37,36,0.012375,0.008402,0.026168,1,1,1,2290.9
round_robin,1,21,11,15.648,24.789,0.9999,0.9999,62,0,0,62,41,40,40,0.012375,0.008402,0.026168,1,1,1,2290.9
round_robin,1,22,1,15.543,24.99,0.9999,0.9999,61,0,0,61,41,41,40,0.01184,0.008338,0.026451,1,1,1,2290.9
round_robin,1,23,7,15.244,24.387,1.0,1.0,62,0,0,62,43,43,43,0.011468,0.008442,0.025822,1,1,1,2290.9
round_robin,1,24,4,15.353,24.656,0.9999,0.9999,64,0,0,64,45,44,44,0.011551,0.008396,0.026112,1,1,1,2290.9
round_robin,1,25,1,15.286,24.529,0.9999,0.9999,62,0,0,62,45,45,44,0.011524,0.008359,0.025974,1,1,1,2290.9
round_robin,1,26,11,15.346,24.666,0.9999,0.9999,64,0,0,64,49,48,48,0.011494,0.008416,0.026129,1,1,1,2290.9
round_robin,1,27,1,15.346,24.666,0.9999,0.9999,64,0,0,64,49,49,48,0.011494,0.008416,0.026129,1,1,1,2290.9
round_robin,1,28,11,15.204,24.186,0.9999,0.9999,66,0,0,66,53,52,52,0.01159,0.008435,0.025586,1,1,1,2290.9
round_robin,1,29,1,15.596,25.001,0.9999,0.9999,67,0,0,67,53,53,52,0.011679,0.008629,0.026481,1,1,1,2290.9
round_robin,1,30,11,15.317,24.51,0.9999,0.9999,65,0,0,65,57,56,56,0.011538,0.008462,0.025951,1,1,1,2290.9
round_robin,1,31,1,15.823,25.02,0.9999,0.9999,66,0,0,66,57,57,56,0.012356,0.008686,0.026427,1,1,1,2290.9
round_robin,1,32,11,15.526,24.803,0.9999,0.9999,68,0,0,68,61,60,60,0.011558,0.008744,0.026275,1,1,1,2290.9
round_robin,1,33,1,15.526,24.803,0.9999,0.9999,68,0,0,68,61,61,60,0.011558,0.008744,0.026275,1,1,1,2290.9
round_robin,1,34,11,15.375,24.655,0.9999,0.9999,66,0,0,66,65,64,64,0.011604,0.008417,0.026105,1,1,1,2290.9
round_robin,1,35,1,15.362,24.645,0.9999,0.9999,68,0,0,68,65,65,64,0.011545,0.008441,0.0261,1,1,1,2290.9
round_robin,1,36,11,15.397,24.484,1.0,1.0,70,0,0,70,69,68,68,0.011885,0.008423,0.025884,1,1,1,2290.9
round_robin,1,37,1,15.345,24.635,1.0,1.0,71,0,0,71,69,69,68,0.011589,0.00836,0.026085,1,1,1,2290.9
round_robin,1,38,11,15.098,23.993,1.0,1.0,69,0,0,69,73,72,72,0.011487,0.008425,0.025383,1,1,1,2290.9
round_robin,1,39,1,15.098,23.993,1.0,1.0,69,0,0,69,73,73,72,0.011487,0.008425,0.025383,1,1,1,2290.9
round_robin,1,40,11,15.377,24.666,1.0,1.0,70,0,0,70,77,76,76,0.011529,0.008475,0.026126,1,1,1,2290.9
round_robin,1,41,1,15.414,24.656,1.0,1.0,72,0,0,72,77,77,76,0.01153,0.008598,0.026114,1,1,1,2290.9
round_robin,1,42,11,15.344,24.726,1.0,1.0,70,0,0,70,81,80,80,0.011455,0.008376,0.026201,1,1,1,2290.9
round_robin,1,43,1,15.348,24.605,1.0,1.0,72,0,0,72,81,81,80,0.011553,0.008435,0.026055,1,1,1,2290.9
round_robin,1,44,11,15.272,24.47,1.0,1.0,74,0,0,74,85,84,84,0.01151,0.008397,0.02591,1,1,1,2290.9
round_robin,1,45,1,15.272,24.47,1.0,1.0,74,0,0,74,85,85,84,0.01151,0.008397,0.02591,1,1,1,2290.9
round_robin,1,46,11,15.312,24.63,1.0,1.0,71,0,0,71,89,88,88,0.011483,0.008363,0.026091,1,1,1,2290.9
round_robin,1,47,1,15.859,25.28,1.0,1.0,73,0,0,73,89,89,88,0.012432,0.008438,0.026708,1,1,1,2290.9
round_robin,1,48,0,15.377,24.693,1.0,1.0,74,0,0,74,89,89,88,0.011557,0.008421,0.026153,1,1,1,2290.9
round_robin,1,49,11,15.412,24.638,1.0,1.0,76,0,0,76,93,92,92,0.011737,0.008427,0.026071,1,1,1,2290.9
round_robin,1,50,1,15.281,24.61,1.0,1.0,76,0,0,76,93,93,92,0.011457,0.008315,0.026071,1,1,1,2290.9
round_robin,1,51,11,15.235,24.486,1.0,1.0,74,0,0,74,97,96,96,0.011457,0.008315,0.025934,1,1,1,2290.9
round_robin,1,52,1,15.555,24.414,1.0,1.0,76,0,0,76,97,97,96,0.012291,0.008614,0.025761,1,1,1,2290.9
round_robin,1,53,11,15.278,24.589,1.0,1.0,78,0,0,78,101,100,100,0.0113,0.008467,0.026066,1,1,1,2290.9
round_robin,1,54,1,15.213,24.342,1.0,1.0,76,0,0,76,101,101,100,0.011441,0.008422,0.025775,1,1,1,2290.9
round_robin,1,55,11,15.325,24.583,1.0,1.0,78,0,0,78,105,104,104,0.011526,0.008414,0.026034,1,1,1,2290.9
round_robin,1,56,1,15.347,24.583,1.0,1.0,78,0,0,78,105,105,104,0.011521,0.008487,0.026034,1,1,1,2290.9
round_robin,1,57,11,15.327,24.528,1.0,1.0,79,0,0,79,109,108,108,0.011521,0.008487,0.025973,1,1,1,2290.9
round_robin,1,58,1,15.293,24.605,1.0,1.0,81,0,0,81,109,109,108,0.011453,0.00836,0.026066,1,1,1,2290.9
round_robin,1,59,11,15.278,24.391,1.0,1.0,78,0,0,78,113,112,112,0.011551,0.008466,0.025818,1,1,1,2290.9
round_robin,1,60,1,15.284,24.472,1.0,1.0,80,0,0,80,113,113,112,0.011485,0.008453,0.025915,1,1,1,2290.9
round_robin,1,61,11,15.53,24.531,1.0,1.0,82,0,0,82,117,116,116,0.012139,0.008542,0.025908,1,1,1,2290.9
round_robin,1,62,1,15.279,24.468,1.0,1.0,82,0,0,82,117,117,116,0.011505,0.008424,0.025908,1,1,1,2290.9
round_robin,1,63,11,15.324,24.589,1.0,1.0,80,0,0,80,121,120,120,0.011505,0.008424,0.026043,1,1,1,2290.9
round_robin,1,64,1,15.31,24.563,1.0,1.0,82,0,0,82,121,121,120,0.011478,0.008436,0.026017,1,1,1,2290.9
round_robin,1,65,11,15.55,25.202,1.0,1.0,83,0,0,83,125,124,124,0.011534,0.008396,0.026721,1,1,1,2290.9
round_robin,1,66,1,15.204,24.297,1.0,1.0,79,0,0,79,125,125,124,0.011504,0.008389,0.025718,1,1,1,2290.9
round_robin,1,67,11,15.516,24.345,1.0,1.0,80,0,0,80,129,128,128,0.011542,0.009238,0.025768,1,1,1,2290.9
round_robin,1,68,1,15.272,24.353,1.0,1.0,80,0,0,80,129,129,128,0.011619,0.008428,0.025768,1,1,1,2290.9
round_robin,1,69,11,15.392,24.677,1.0,1.0,82,0,0,82,133,132,132,0.011619,0.008428,0.026128,1,1,1,2290.9
round_robin,1,70,1,15.313,24.59,1.0,1.0,84,0,0,84,133,133,132,0.011486,0.008407,0.026046,1,1,1,2290.9
round_robin,1,71,0,15.604,24.619,1.0,1.0,80,0,0,80,133,133,132,0.011493,0.009242,0.026078,1,1,1,2290.9
round_robin,1,72,11,16.067,25.785,1.0,1.0,82,0,0,82,137,136,136,0.012518,0.008424,0.027259,1,1,1,2290.9
round_robin,1,73,1,15.187,24.28,1.0,1.0,83,0,0,83,137,137,136,0.011428,0.008425,0.025708,1,1,1,2290.9
round_robin,1,74,11,15.262,24.296,1.0,1.0,83,0,0,83,141,140,140,0.011583,0.008496,0.025708,1,1,1,2290.9
round_robin,1,75,1,15.453,24.811,1.0,1.0,80,0,0,80,141,141,140,0.011583,0.008496,0.026281,1,1,1,2290.9
round_robin,1,76,11,15.118,23.969,1.0,1.0,82,0,0,82,145,144,144,0.011563,0.008444,0.025348,1,1,1,2290.9
round_robin,1,77,1,15.257,24.48,1.0,1.0,83,0,0,83,145,145,144,0.011426,0.008415,0.02593,1,1,1,2290.9
round_robin,1,78,11,15.496,24.652,1.0,1.0,85,0,0,85,149,148,148,0.011547,0.008832,0.026108,1,1,1,2290.9
round_robin,1,79,1,15.343,24.587,1.0,1.0,80,0,0,80,149,149,148,0.011569,0.008427,0.026034,1,1,1,2290.9
round_robin,1,80,11,15.342,24.585,1.0,1.0,80,0,0,80,153,152,152,0.011545,0.008447,0.026034,1,1,1,2290.9
round_robin,1,81,1,15.297,24.464,1.0,1.0,82,0,0,82,153,153,152,0.011545,0.008447,0.0259,1,1,1,2290.9
round_robin,1,82,11,15.63,25.368,1.0,1.0,83,0,0,83,157,156,156,0.011548,0.008439,0.026904,1,1,1,2290.9
round_robin,1,83,1,15.356,24.716,1.0,1.0,80,0,0,80,157,157,156,0.011435,0.00844,0.026192,1,1,1,2290.9
round_robin,1,84,11,15.556,25.257,1.0,1.0,82,0,0,82,161,160,160,0.011506,0.008377,0.026785,1,1,1,2290.9
round_robin,1,85,1,15.362,24.704,1.0,1.0,83,0,0,83,161,161,160,0.011522,0.008394,0.026169,1,1,1,2290.9
round_robin,1,86,11,15.359,24.704,1.0,1.0,83,0,0,83,165,164,164,0.011515,0.008394,0.026169,1,1,1,2290.9
round_robin,1,87,1,15.081,24.041,1.0,1.0,79,0,0,79,165,165,164,0.011515,0.008295,0.025433,1,1,1,2290.9
round_robin,1,88,11,15.547,24.339,1.0,1.0,80,0,0,80,169,168,168,0.011552,0.00933,0.02576,1,1,1,2290.9
round_robin,1,89,1,15.324,24.505,1.0,1.0,82,0,0,82,169,169,168,0.011601,0.008433,0.025939,1,1,1,2290.9
round_robin,1,90,11,15.385,24.753,1.0,1.0,83,0,0,83,173,172,172,0.011531,0.008403,0.026222,1,1,1,2290.9
round_robin,1,91,1,15.513,24.642,1.0,1.0,80,0,0,80,173,173,172,0.012066,0.008434,0.026039,1,1,1,2290.9
round_robin,1,92,11,15.282,24.572,1.0,1.0,80,0,0,80,177,176,176,0.011372,0.008434,0.026039,1,1,1,2290.9
round_robin,1,93,1,15.241,24.572,1.0,1.0,82,0,0,82,177,177,176,0.011372,0.008313,0.026039,1,1,1,2290.9
round_robin,1,94,7,15.111,24.161,1.0,1.0,83,0,0,83,179,179,179,0.011527,0.008242,0.025565,1,1,1,2290.9
round_robin,1,95,4,15.287,24.513,1.0,1.0,80,0,0,80,181,180,180,0.011476,0.008423,0.025962,1,1,1,2290.9
round_robin,1,96,1,15.345,24.608,1.0,1.0,81,0,0,81,181,181,180,0.011516,0.008457,0.026063,1,1,1,2290.9
round_robin,1,97,11,15.298,24.418,1.0,1.0,83,0,0,83,185,184,184,0.01164,0.008415,0.025838,1,1,1,2290.9
round_robin,1,98,1,15.228,24.397,1.0,1.0,83,0,0,83,185,185,184,0.01143,0.008415,0.025838,1,1,1,2290.9
round_robin,1,99,11,15.181,24.204,1.0,1.0,84,0,0,84,189,188,188,0.01143,0.00849,0.025623,1,1,1,2290.9
round_robin,1,100,1,15.35,24.645,1.0,1.0,80,0,0,80,189,189,188,0.011511,0.008436,0.026104,1,1,1,2290.9
round_robin,1,101,11,15.583,24.676,1.0,1.0,82,0,0,82,193,192,192,0.012287,0.00841,0.026053,1,1,1,2290.9
round_robin,1,102,1,15.306,24.54,1.0,1.0,83,0,0,83,193,193,192,0.011529,0.008404,0.025986,1,1,1,2290.9
round_robin,1,103,11,15.331,24.535,1.0,1.0,80,0,0,80,197,196,196,0.011564,0.008452,0.025976,1,1,1,2290.9
round_robin,1,104,1,15.306,24.527,1.0,1.0,80,0,0,80,197,197,196,0.011491,0.008452,0.025976,1,1,1,2290.9
round_robin,1,105,11,15.429,24.688,1.0,1.0,81,0,0,81,201,200,200,0.011491,0.008643,0.026154,1,1,1,2290.9
round_robin,1,106,1,15.145,24.129,1.0,1.0,83,0,0,83,201,201,200,0.011559,0.00835,0.025526,1,1,1,2290.9
round_robin,1,107,11,15.335,24.535,1.0,1.0,78,0,0,78,205,204,204,0.011556,0.008473,0.025977,1,1,1,2290.9
