algorithm,trial,second,throughput,avg_rtt,p95_rtt,fairness_index,fairness_alive,max_imbalance,h1_conns,h2_conns,h3_conns,h1_sels,h2_sels,h3_sels,h1_rtt,h2_rtt,h3_rtt,h1_alive,h2_alive,h3_alive,decision_latency_us
round_robin,1,0,0,15.339,24.624,1.0,1.0,0,0,0,0,0,0,0,0.011525,0.008413,0.026079,1,1,1,2397.6
round_robin,1,1,1,15.685,24.594,0.3333,0.3333,50,0,0,50,1,0,0,0.012702,0.008437,0.025915,1,1,1,2397.6
round_robin,1,2,1,15.438,24.913,0.6667,0.6667,51,0,0,51,1,1,0,0.011534,0.008379,0.0264,1,1,1,2397.6
round_robin,1,3,11,15.496,24.911,0.9883,0.9883,51,0,0,51,5,4,4,0.011506,0.008583,0.0264,1,1,1,2397.6
round_robin,1,4,1,15.487,24.884,0.9899,0.9899,53,0,0,53,5,5,4,0.011506,0.008583,0.026371,1,1,1,2397.6
round_robin,1,5,11,15.356,24.704,0.9968,0.9968,55,0,0,55,9,8,8,0.011581,0.008325,0.026162,1,1,1,2397.6
round_robin,1,6,1,15.333,24.286,0.9971,0.9971,53,0,0,53,9,9,8,0.011585,0.008718,0.025697,1,1,1,2397.6
round_robin,1,7,11,15.854,25.187,0.9985,0.9985,55,0,0,55,13,12,12,0.011521,0.009335,0.026706,1,1,1,2397.6
round_robin,1,8,1,15.556,24.815,0.9986,0.9986,56,0,0,56,13,13,12,0.011937,0.008486,0.026246,1,1,1,2397.6
round_robin,1,9,11,15.485,24.8,0.9992,0.9992,56,0,0,56,17,16,16,0.011786,0.008422,0.026246,1,1,1,2397.6
round_robin,1,10,1,15.57,25.031,0.9992,0.9992,55,0,0,55,17,17,16,0.011786,0.008422,0.026503,1,1,1,2397.6
round_robin,1,11,11,15.474,24.722,0.9995,0.9995,56,0,0,56,21,20,20,0.011776,0.008487,0.02616,1,1,1,2397.6
round_robin,1,12,1,16.004,25.777,0.9995,0.9995,58,0,0,58,21,21,20,0.012246,0.008486,0.027281,1,1,1,2397.6
round_robin,1,13,11,15.251,24.332,0.9996,0.9996,63,0,0,63,25,24,24,0.011568,0.008434,0.02575,1,1,1,2397.6
round_robin,1,14,1,15.321,24.541,0.9996,0.9996,57,0,0,57,25,25,24,0.011544,0.008435,0.025985,1,1,1,2397.6
round_robin,1,15,11,15.416,24.566,0.9997,0.9997,57,0,0,57,29,28,28,0.01179,0.008474,0.025985,1,1,1,2397.6
round_robin,1,16,1,15.562,24.958,0.9997,0.9997,59,0,0,59,29,29,28,0.01179,0.008474,0.026421,1,1,1,2397.6
round_robin,1,17,11,15.612,24.742,0.9998,0.9998,60,0,0,60,33,32,32,0.012303,0.00841,0.026124,1,1,1,2397.6
round_robin,1,18,1,15.334,24.605,0.9998,0.9998,59,0,0,59,33,33,32,0.011559,0.008388,0.026055,1,1,1,2397.6
round_robin,1,19,11,15.432,24.798,0.9998,0.9998,60,0,0,60,37,36,36,0.011598,0.008433,0.026265,1,1,1,2397.6
round_robin,1,20,1,15.412,24.767,0.9998,0.9998,62,0,0,62,37,37,36,0.011569,0.008435,0.026233,1,1,1,2397.6
round_robin,1,21,11,15.395,24.761,0.9999,0.9999,62,0,0,62,41,40,40,0.011518,0.008435,0.026233,1,1,1,2397.6
round_robin,1,22,0,15.138,24.181,0.9999,0.9999,60,0,0,60,41,40,40,0.011518,0.008309,0.025588,1,1,1,2397.6
round_robin,1,23,1,15.418,24.878,0.9999,0.9999,61,0,0,61,41,41,40,0.011488,0.0084,0.026366,1,1,1,2397.6
round_robin,1,24,11,15.48,24.663,0.9999,0.9999,63,0,0,63,45,44,44,0.011837,0.008514,0.026088,1,1,1,2397.6
round_robin,1,25,1,15.284,24.44,0.9999,0.9999,64,0,0,64,45,45,44,0.011586,0.008399,0.025868,1,1,1,2397.6
round_robin,1,26,11,15.582,24.804,0.9999,0.9999,63,0,0,63,49,48,48,0.011745,0.008746,0.026255,1,1,1,2397.6
round_robin,1,27,1,15.508,24.782,0.9999,0.9999,63,0,0,63,49,49,48,0.011524,0.008746,0.026255,1,1,1,2397.6
round_robin,1,28,11,15.392,24.729,0.9999,0.9999,64,0,0,64,53,52,52,0.011524,0.008455,0.026196,1,1,1,2397.6
round_robin,1,29,1,15.306,24.496,0.9999,0.9999,66,0,0,66,53,53,52,0.011575,0.008411,0.025932,1,1,1,2397.6
round_robin,1,30,11,15.448,24.622,0.9999,0.9999,65,0,0,65,57,56,56,0.011641,0.00864,0.026064,1,1,1,2397.6
