algorithm,trial,second,throughput,avg_rtt,p95_rtt,fairness_index,fairness_alive,max_imbalance,h1_conns,h2_conns,h3_conns,h1_sels,h2_sels,h3_sels,h1_rtt,h2_rtt,h3_rtt,h1_alive,h2_alive,h3_alive,decision_latency_us
round_robin,1,0,0,23.11,26.154,1.0,1.0,0,0,0,0,0,0,0,0.025245,0.01783,0.026255,1,1,1,2543.3
round_robin,1,1,82,23.186,25.953,0.9997,0.9997,23,1186,1163,1172,28,27,27,0.025961,0.017716,0.025882,1,1,1,2543.3
round_robin,1,2,81,22.939,26.09,0.9999,0.9999,155,1042,1108,1197,55,54,54,0.025165,0.017459,0.026193,1,1,1,2543.3
round_robin,1,3,77,22.881,26.121,1.0,1.0,133,1064,1122,1197,80,80,80,0.025474,0.016975,0.026193,1,1,1,2543.3
round_robin,1,4,10,22.705,25.648,1.0,1.0,160,1064,1122,1224,84,83,83,0.025474,0.016975,0.025667,1,1,1,2543.3
round_robin,1,5,82,23.094,26.766,1.0,1.0,165,1087,1145,1252,111,111,110,0.025217,0.017127,0.026938,1,1,1,2543.3
round_robin,1,6,81,23.433,26.871,1.0,1.0,187,1102,992,1179,138,138,137,0.027029,0.01782,0.025451,1,1,1,2543.3
round_robin,1,7,31,23.171,25.983,1.0,1.0,183,1130,1019,1202,148,148,148,0.02599,0.017604,0.02592,1,1,1,2543.3
round_robin,1,8,51,23.171,25.983,1.0,1.0,183,1130,1019,1202,165,165,165,0.02599,0.017604,0.02592,1,1,1,2543.3
round_robin,1,9,87,23.658,26.588,1.0,1.0,180,1158,1046,1226,194,194,194,0.026631,0.018145,0.026197,1,1,1,2543.3
round_robin,1,10,82,23.116,25.97,1.0,1.0,148,1022,1071,1170,222,221,221,0.025556,0.017775,0.026016,1,1,1,2543.3
round_robin,1,11,42,23.359,26.066,1.0,1.0,152,1045,1099,1197,236,235,235,0.026068,0.017959,0.026049,1,1,1,2543.3
round_robin,1,12,41,23.379,26.251,1.0,1.0,153,1072,1127,1225,249,249,249,0.026251,0.017636,0.026251,1,1,1,2543.3
round_robin,1,13,90,23.379,26.251,1.0,1.0,153,1072,1127,1225,279,279,279,0.026251,0.017636,0.026251,1,1,1,2543.3
round_robin,1,14,86,23.614,26.305,1.0,1.0,89,1058,1093,1147,308,308,307,0.02603,0.018476,0.026335,1,1,1,2543.3
round_robin,1,15,61,23.588,26.315,1.0,1.0,88,1086,1121,1174,328,328,328,0.026329,0.018243,0.026193,1,1,1,2543.3
round_robin,1,16,23,23.494,26.305,1.0,1.0,87,1114,1148,1201,336,336,335,0.026185,0.017979,0.026318,1,1,1,2543.3
round_robin,1,17,86,23.388,26.314,1.0,1.0,59,1142,1175,1201,365,364,364,0.026276,0.01757,0.026318,1,1,1,2543.3
round_robin,1,18,81,23.256,26.241,1.0,1.0,87,1142,1175,1229,392,391,391,0.026276,0.01757,0.025921,1,1,1,2543.3
round_robin,1,19,1,23.547,26.525,1.0,1.0,206,1047,1097,1253,392,392,391,0.026623,0.018375,0.025643,1,1,1,2543.3
round_robin,1,20,84,23.107,26.18,1.0,1.0,207,1074,1125,1281,420,420,419,0.025432,0.017626,0.026263,1,1,1,2543.3
round_robin,1,21,81,22.946,26.013,1.0,1.0,209,1100,1151,1309,447,447,446,0.025181,0.017551,0.026105,1,1,1,2543.3
round_robin,1,22,82,22.947,26.065,1.0,1.0,271,1121,1038,1309,474,474,474,0.025702,0.017033,0.026105,1,1,1,2543.3
round_robin,1,23,1,22.921,25.996,1.0,1.0,195,1121,1038,1233,475,474,474,0.025702,0.017033,0.026029,1,1,1,2543.3
round_robin,1,24,81,23.251,26.231,1.0,1.0,195,1155,1065,1260,502,501,501,0.026061,0.017441,0.02625,1,1,1,2543.3
round_robin,1,25,86,23.187,26.172,1.0,1.0,195,1181,1093,1288,530,530,530,0.025428,0.017878,0.026255,1,1,1,2543.3
round_robin,1,26,84,23.187,26.172,1.0,1.0,195,1181,1093,1288,558,558,558,0.025428,0.017878,0.026255,1,1,1,2543.3
