time_to_adapt,failed_request_count,fairness_among_alive,algorithm,trial,avg_decision_latency_us
60,43,1.0,round_robin,1,2543.3
60,36,0.9999833333333334,round_robin,2,2533.1
60,33,0.9999822222222222,weighted_round_robin,1,2534.1
60,36,0.9999822222222222,weighted_round_robin,2,2439.0
29,36,0.9959577777777779,random,1,2554.4
8,31,0.9962511111111112,random,2,2404.4
22,29,0.9843600000000001,least_connections,1,2448.2
0,27,0.9975311111111113,least_connections,2,2450.0
13,43,0.9957688888888889,hash_based,1,2274.4
42,28,0.9985588888888889,hash_based,2,2260.6
60,33,0.9999822222222222,ecmp,1,2431.8
60,36,0.9999822222222222,ecmp,2,2102.9
29,58,0.6666666666666666,drl,1,2516.7
30,60,0.6722222222222223,drl,2,2476.8
