algorithm,trial,second,throughput,avg_rtt,p95_rtt,fairness_index,fairness_alive,max_imbalance,h1_conns,h2_conns,h3_conns,h1_sels,h2_sels,h3_sels,h1_rtt,h2_rtt,h3_rtt,h1_alive,h2_alive,h3_alive,decision_latency_us
round_robin,1,0,0,15.934,25.947,1.0,1.0,0,0,0,0,0,0,0,0.011542,0.008713,0.027548,1,1,1,2310.6
round_robin,1,1,1,15.38,24.684,0.3333,0.3333,107,0,107,3,1,0,0,0.011545,0.008452,0.026144,1,1,1,2310.6
round_robin,1,2,1,15.563,24.968,0.6667,0.6667,107,0,107,4,1,1,0,0.011592,0.008642,0.026454,1,1,1,2310.6
round_robin,1,3,11,15.567,24.865,0.9883,0.9883,107,0,107,6,5,4,4,0.011975,0.008429,0.026297,1,1,1,2310.6
round_robin,1,4,1,15.489,24.841,0.9899,0.9899,107,0,107,6,5,5,4,0.011741,0.008429,0.026297,1,1,1,2310.6
round_robin,1,5,11,15.348,24.487,0.9968,0.9968,107,0,107,7,9,8,8,0.011741,0.008399,0.025903,1,1,1,2310.6
round_robin,1,6,1,15.401,24.822,0.9971,0.9971,107,0,107,9,9,9,8,0.01148,0.00842,0.026304,1,1,1,2310.6
round_robin,1,7,11,15.35,24.53,0.9985,0.9985,107,0,107,11,13,12,12,0.011611,0.008474,0.025966,1,1,1,2310.6
round_robin,1,8,1,15.358,24.416,0.9986,0.9986,107,0,107,12,13,13,12,0.011476,0.008745,0.025854,1,1,1,2310.6
round_robin,1,9,11,15.785,25.796,0.9992,0.9992,107,0,107,14,17,16,16,0.011551,0.008424,0.027379,1,1,1,2310.6
round_robin,1,10,1,15.864,25.82,0.9992,0.9992,107,0,107,14,17,17,16,0.011789,0.008424,0.027379,1,1,1,2310.6
round_robin,1,11,11,15.486,24.811,0.9995,0.9995,107,0,107,15,21,20,20,0.011789,0.008411,0.026258,1,1,1,2310.6
round_robin,1,12,1,15.471,25.059,0.9995,0.9995,107,0,107,17,21,21,20,0.011402,0.008433,0.026577,1,1,1,2310.6
round_robin,1,13,11,15.272,24.385,0.9996,0.9996,107,0,107,19,25,24,24,0.011553,0.008451,0.025811,1,1,1,2310.6
round_robin,1,14,1,15.337,24.591,0.9996,0.9996,107,0,107,20,25,25,24,0.011483,0.008481,0.026047,1,1,1,2310.6
round_robin,1,15,11,15.387,24.829,0.9997,0.9997,107,0,107,22,29,28,28,0.011525,0.00833,0.026307,1,1,1,2310.6
round_robin,1,16,1,15.472,24.854,0.9997,0.9997,107,0,107,22,29,29,28,0.011779,0.00833,0.026307,1,1,1,2310.6
round_robin,1,17,11,15.539,24.855,0.9998,0.9998,107,0,107,23,33,32,32,0.011779,0.00853,0.026308,1,1,1,2310.6
round_robin,1,18,1,15.363,24.652,0.9998,0.9998,107,0,107,25,33,33,32,0.011559,0.008422,0.026107,1,1,1,2310.6
round_robin,1,19,11,15.902,26.069,0.9998,0.9998,107,0,107,26,37,36,36,0.011568,0.008459,0.02768,1,1,1,2310.6
round_robin,1,20,1,15.722,24.721,0.9998,0.9998,107,0,107,28,37,37,36,0.011539,0.009442,0.026186,1,1,1,2310.6
round_robin,1,21,11,15.422,24.955,0.9999,0.9999,107,0,107,30,41,40,40,0.011542,0.008279,0.026445,1,1,1,2310.6
round_robin,1,22,1,15.422,24.955,0.9999,0.9999,107,0,107,30,41,41,40,0.011542,0.008279,0.026445,1,1,1,2310.6
round_robin,1,23,11,15.211,24.286,0.9999,0.9999,107,0,107,31,45,44,44,0.011503,0.008423,0.025706,1,1,1,2310.6
round_robin,1,24,1,15.519,24.841,0.9999,0.9999,107,0,107,33,45,45,44,0.011803,0.008465,0.02629,1,1,1,2310.6
round_robin,1,25,1,15.342,24.597,1.0,1.0,107,0,107,34,45,45,45,0.011517,0.008458,0.02605,1,1,1,2310.6
