algorithm,trial,second,throughput,avg_rtt,p95_rtt,fairness_index,max_imbalance,h1_conns,h2_conns,h3_conns,decision_latency_us
round_robin,1,0.0,0,23.416,26.325,1.0,0,0,0,0,2444.2
round_robin,1,1.0,87,23.493,26.465,1.0,9,0,6,9,2444.2
round_robin,1,2.0,85,23.807,26.791,0.9999,1,34,34,33,2444.2
round_robin,1,3.0,59,23.41,26.483,1.0,2,62,62,60,2444.2
round_robin,1,4.0,25,23.923,26.879,1.0,2,89,90,88,2444.2
round_robin,1,5.0,83,23.923,26.879,1.0,2,89,90,88,2444.2
round_robin,1,6.0,88,23.463,26.709,1.0,2,116,118,116,2444.2
round_robin,1,7.0,76,24.32,27.445,1.0,2,145,145,143,2444.2
round_robin,1,8.0,11,23.828,26.927,1.0,3,173,173,170,2444.2
round_robin,1,9.0,86,24.096,26.918,1.0,31,200,201,170,2444.2
round_robin,1,10.0,84,24.147,27.056,1.0,3,200,201,198,2444.2
round_robin,1,11.0,61,24.247,27.638,1.0,4,228,229,225,2444.2
round_robin,1,12.0,21,23.446,26.552,1.0,5,256,257,252,2444.2
round_robin,1,13.0,86,23.731,26.604,1.0,5,283,285,280,2444.2
round_robin,1,14.0,84,23.487,26.604,1.0,31,311,285,280,2444.2
round_robin,1,15.0,36,23.387,26.182,1.0,6,311,313,307,2444.2
round_robin,1,16.0,51,23.439,26.657,1.0,5,333,335,330,2444.2
round_robin,1,17.0,87,22.981,25.897,1.0,11,341,348,352,2444.2
round_robin,1,18.0,21,23.374,26.301,1.0,17,369,369,352,2444.2
round_robin,1,19.0,65,23.517,26.344,1.0,3,369,369,372,2444.2
round_robin,1,20.0,84,23.748,26.361,1.0,5,397,397,392,2444.2
round_robin,1,21.0,83,23.265,26.281,1.0,9,425,424,416,2444.2
round_robin,1,22.0,7,23.883,26.654,1.0,9,453,451,444,2444.2
round_robin,1,23.0,77,23.718,26.654,1.0,36,480,451,444,2444.2
round_robin,1,24.0,84,23.852,26.913,1.0,8,480,479,472,2444.2
round_robin,1,25.0,74,23.846,26.8,1.0,7,507,507,500,2444.2
round_robin,1,26.0,10,23.695,26.894,1.0,7,534,535,528,2444.2
round_robin,1,27.0,82,23.869,26.994,1.0,7,561,563,556,2444.2
round_robin,1,28.0,35,23.869,26.994,1.0,7,561,563,556,2444.2
round_robin,1,29.0,86,23.889,26.931,1.0,5,570,570,565,2444.2
round_robin,1,30.0,41,23.892,26.831,1.0,5,597,598,593,2444.2
round_robin,1,31.0,40,23.274,26.173,1.0,6,625,626,620,2444.2
round_robin,1,32.0,83,23.23,26.173,1.0,33,653,626,620,2444.2
round_robin,1,33.0,86,23.501,26.977,1.0,7,653,654,647,2444.2
round_robin,1,34.0,1,23.464,26.459,1.0,6,681,681,675,2444.2
round_robin,1,35.0,81,23.398,26.212,1.0,7,709,709,702,2444.2
round_robin,1,36.0,87,23.684,27.078,1.0,5,736,736,731,2444.2
round_robin,1,37.0,68,23.684,27.078,1.0,5,736,736,731,2444.2
round_robin,1,38.0,18,23.669,26.875,1.0,5,764,763,759,2444.2
round_robin,1,39.0,82,18.169,25.161,1.0,4,787,791,787,2444.2
round_robin,1,40.0,86,20.578,26.419,1.0,11,809,820,815,2444.2
round_robin,1,41.0,51,20.335,26.347,1.0,15,830,820,815,2444.2
round_robin,1,42.0,30,20.155,25.394,1.0,10,830,838,840,2444.2
round_robin,1,43.0,86,19.836,25.278,1.0,15,854,861,869,2444.2
round_robin,1,44.0,82,20.377,25.979,1.0,11,878,886,889,2444.2
round_robin,1,45.0,45,20.583,26.335,1.0,16,902,905,889,2444.2
round_robin,1,46.0,40,20.537,26.335,1.0,9,902,905,911,2444.2
round_robin,1,47.0,87,20.8,26.298,1.0,5,929,928,924,2444.2
round_robin,1,48.0,72,20.908,26.703,1.0,5,957,955,952,2444.2
round_robin,1,49.0,12,20.925,26.75,1.0,5,985,982,980,2444.2
round_robin,1,50.0,82,20.836,26.724,1.0,33,1013,982,980,2444.2
round_robin,1,51.0,84,20.849,26.87,1.0,5,1013,1009,1008,2444.2
round_robin,1,52.0,71,20.925,26.725,1.0,6,1041,1037,1035,2444.2
round_robin,1,53.0,10,20.666,26.26,1.0,7,1069,1065,1062,2444.2
round_robin,1,54.0,83,21.679,27.873,1.0,8,1097,1093,1089,2444.2
round_robin,1,55.1,81,21.679,27.873,1.0,8,1097,1093,1089,2444.2
round_robin,1,56.1,67,20.886,27.18,1.0,8,1125,1120,1117,2444.2
round_robin,1,57.1,14,20.873,26.89,1.0,8,1153,1147,1145,2444.2
round_robin,1,58.1,81,21.432,27.698,1.0,6,1173,1168,1167,2444.2
round_robin,1,59.1,86,21.125,27.859,1.0,34,1201,1195,1167,2444.2
round_robin,2,0.0,0,20.629,26.641,1.0,0,0,0,0,2590.0
round_robin,2,1.0,83,20.547,26.143,0.9997,11,1141,1133,1130,2590.0
round_robin,2,2.0,37,20.781,26.759,1.0,20,1150,1133,1130,2590.0
round_robin,2,3.0,84,21.379,26.809,1.0,10,1150,1141,1140,2590.0
round_robin,2,4.0,71,20.981,26.941,1.0,11,1178,1169,1167,2590.0
round_robin,2,5.0,10,20.517,26.2,1.0,8,1114,1106,1108,2590.0
round_robin,2,6.0,84,20.914,26.786,1.0,9,1139,1130,1133,2590.0
round_robin,2,7.0,86,20.914,26.786,1.0,9,1139,1130,1133,2590.0
round_robin,2,8.0,74,21.218,27.383,1.0,9,1167,1158,1160,2590.0
round_robin,2,9.0,11,20.549,26.05,1.0,11,1109,1098,1102,2590.0
round_robin,2,10.0,53,20.87,26.246,1.0,11,1124,1113,1117,2590.0
round_robin,2,11.0,81,21.31,26.836,1.0,35,1152,1140,1117,2590.0
round_robin,2,12.0,76,21.3,26.836,1.0,12,1152,1140,1145,2590.0
round_robin,2,13.0,8,21.602,27.172,1.0,11,1113,1102,1110,2590.0
round_robin,2,14.0,86,24.241,26.702,1.0,12,1141,1129,1138,2590.0
round_robin,2,15.0,85,23.183,26.303,1.0,7,1162,1158,1165,2590.0
round_robin,2,16.0,53,23.183,26.303,1.0,7,1162,1158,1165,2590.0
round_robin,2,17.0,30,22.841,26.247,1.0,7,1103,1102,1109,2590.0
round_robin,2,18.0,85,22.863,25.565,1.0,10,1128,1127,1137,2590.0
round_robin,2,19.0,82,22.839,25.902,1.0,16,1151,1150,1166,2590.0
round_robin,2,20.0,46,20.519,25.206,1.0,24,1174,1150,1166,2590.0
round_robin,2,21.0,35,22.977,25.476,1.0,61,1174,1173,1113,2590.0
round_robin,2,22.0,81,23.233,25.646,1.0,18,1118,1118,1136,2590.0
round_robin,2,23.0,84,22.592,25.324,1.0,18,1143,1142,1160,2590.0
round_robin,2,24.0,41,22.674,25.344,1.0,10,1170,1167,1160,2590.0
round_robin,2,25.0,40,17.309,24.455,1.0,12,1170,1167,1179,2590.0
round_robin,2,26.0,81,23.94,27.077,1.0,18,1114,1105,1123,2590.0
round_robin,2,27.0,82,23.94,27.077,1.0,18,1114,1105,1123,2590.0
round_robin,2,28.0,31,23.94,27.077,1.0,18,1114,1105,1123,2590.0
round_robin,2,29.0,50,23.796,27.006,1.0,7,1121,1114,1117,2590.0
round_robin,2,30.0,86,23.234,26.301,1.0,4,1146,1142,1144,2590.0
round_robin,2,31.0,51,23.234,26.301,1.0,4,1146,1142,1144,2590.0
round_robin,2,32.0,35,22.992,26.16,1.0,1,1171,1172,1171,2590.0
round_robin,2,33.0,81,22.977,26.155,1.0,4,1108,1112,1112,2590.0
round_robin,2,34.0,84,23.554,26.001,1.0,6,1133,1135,1139,2590.0
round_robin,2,35.0,41,23.37,26.001,1.0,22,1157,1135,1139,2590.0
round_robin,2,36.0,42,23.204,25.861,1.0,10,1157,1159,1167,2590.0
round_robin,2,37.0,86,22.774,25.418,1.0,88,1182,1094,1107,2590.0
round_robin,2,38.0,87,23.11,25.999,1.0,14,1119,1120,1133,2590.0
round_robin,2,39.0,36,23.142,25.999,1.0,23,1143,1120,1133,2590.0
round_robin,2,40.0,45,23.287,26.332,1.0,12,1143,1143,1155,2590.0
round_robin,2,41.0,84,23.458,26.078,1.0,10,1169,1159,1160,2590.0
round_robin,2,42.0,72,23.611,26.813,1.0,12,1131,1120,1119,2590.0
round_robin,2,43.0,10,23.81,26.837,1.0,13,1159,1148,1146,2590.0
round_robin,2,44.0,87,23.81,26.837,1.0,13,1159,1148,1146,2590.0
round_robin,2,45.0,86,23.646,26.36,1.0,12,1186,1176,1174,2590.0
round_robin,2,46.0,63,23.758,27.025,1.0,10,1122,1117,1112,2590.0
round_robin,2,47.0,17,23.221,26.155,1.0,11,1149,1144,1138,2590.0
round_robin,2,48.0,82,23.573,26.155,1.0,39,1177,1144,1138,2590.0
round_robin,2,49.0,85,23.427,25.902,1.0,11,1177,1171,1166,2590.0
round_robin,2,50.1,66,23.339,26.06,1.0,12,1117,1111,1105,2590.0
round_robin,2,51.1,15,23.49,26.396,1.0,11,1144,1139,1133,2590.0
round_robin,2,52.1,86,23.668,26.439,1.0,38,1171,1167,1133,2590.0
round_robin,2,53.1,86,23.566,26.409,1.0,10,1171,1167,1161,2590.0
round_robin,2,54.1,62,23.518,26.512,1.0,9,1110,1108,1101,2590.0
round_robin,2,55.1,20,23.098,26.052,1.0,9,1138,1135,1129,2590.0
round_robin,2,56.1,81,23.89,26.893,1.0,10,1166,1163,1156,2590.0
round_robin,2,57.1,84,24.002,26.893,1.0,8,1164,1163,1156,2590.0
round_robin,2,58.1,62,23.341,25.941,1.0,11,1164,1160,1153,2590.0
round_robin,2,59.1,24,24.042,27.24,1.0,12,1192,1188,1180,2590.0
round_robin,3,0.0,0,23.513,26.462,1.0,0,0,0,0,2592.9
round_robin,3,1.0,81,22.998,26.037,1.0,6,1144,1150,1146,2592.9
round_robin,3,2.0,81,17.694,25.579,1.0,5,1169,1174,1174,2592.9
round_robin,3,3.0,82,20.245,26.153,1.0,6,1193,1199,1199,2592.9
round_robin,3,4.0,0,20.245,26.153,1.0,6,1193,1199,1199,2592.9
round_robin,3,5.0,42,20.876,25.926,1.0,7,1127,1129,1122,2592.9
round_robin,3,6.0,86,20.753,27.16,1.0,9,1150,1159,1150,2592.9
round_robin,3,7.0,86,20.182,25.67,1.0,9,1171,1180,1177,2592.9
round_robin,3,8.0,41,20.103,25.458,1.0,61,1119,1180,1177,2592.9
round_robin,3,9.0,45,20.271,25.486,1.0,11,1119,1130,1129,2592.9
round_robin,3,10.0,81,20.586,26.366,1.0,10,1142,1152,1152,2592.9
round_robin,3,11.0,86,20.619,26.217,1.0,11,1166,1177,1176,2592.9
round_robin,3,12.0,62,20.465,26.165,1.0,73,1103,1123,1176,2592.9
round_robin,3,13.0,28,25.871,26.184,1.0,25,1103,1123,1128,2592.9
round_robin,3,14.0,81,23.536,27.014,1.0,13,1138,1151,1140,2592.9
round_robin,3,15.0,61,23.837,26.281,1.0,11,1159,1165,1154,2592.9
round_robin,3,16.0,21,28.397,39.9,1.0,13,1098,1102,1089,2592.9
round_robin,3,17.0,84,28.397,39.9,1.0,13,1098,1102,1089,2592.9
round_robin,3,18.0,25,23.573,26.601,1.0,13,1125,1130,1117,2592.9
round_robin,3,19.0,82,23.733,26.423,1.0,10,1129,1135,1125,2592.9
round_robin,3,20.0,41,23.416,26.212,1.0,92,1157,1076,1065,2592.9
round_robin,3,21.0,42,23.516,26.212,1.0,34,1099,1076,1065,2592.9
round_robin,3,22.0,75,23.449,26.0,1.0,12,1099,1104,1092,2592.9
round_robin,3,23.0,86,23.354,26.336,1.0,10,1121,1126,1116,2592.9
