algorithm,metric,mean,std,min,max
round_robin,throughput,60.2389,27.9769,0.0,88.0
round_robin,avg_rtt,22.7805,1.537,17.309,28.397
round_robin,p95_rtt,26.582,1.5267,24.455,39.9
round_robin,fairness_index,1.0,0.0,0.9997,1.0
round_robin,max_imbalance,13.0556,14.3296,0.0,92.0
round_robin,decision_latency_us,2542.3667,69.6181,2444.2,2592.9
weighted_round_robin,throughput,58.2111,32.3426,0.0,89.0
weighted_round_robin,avg_rtt,22.315,1.5954,17.825,26.388
weighted_round_robin,p95_rtt,26.4594,0.6219,24.595,29.397
weighted_round_robin,fairness_index,1.0,0.0,0.9997,1.0
weighted_round_robin,max_imbalance,21.5278,79.0087,0.0,1059.0
weighted_round_robin,decision_latency_us,2734.6,409.8442,2357.1,3302.4
random,throughput,60.1611,29.7677,0.0,94.0
random,avg_rtt,22.1151,1.6499,17.732,27.674
random,p95_rtt,26.6132,1.1209,24.412,38.248
random,fairness_index,0.9984,0.0028,0.9812,1.0
random,max_imbalance,52.9389,31.4806,0.0,163.0
random,decision_latency_us,2351.2,144.5346,2149.8,2479.1
least_connections,throughput,61.0778,32.1742,0.0,88.0
least_connections,avg_rtt,22.4649,1.4866,17.775,24.319
least_connections,p95_rtt,26.3624,0.495,24.724,27.641
least_connections,fairness_index,0.9983,0.0043,0.9593,1.0
least_connections,max_imbalance,28.3722,21.1457,0.0,114.0
least_connections,decision_latency_us,2812.8333,301.9882,2553.1,3235.0
hash_based,throughput,62.1389,33.361,0.0,97.0
hash_based,avg_rtt,22.6333,1.4502,18.105,27.238
hash_based,p95_rtt,26.4384,0.5132,25.06,27.771
hash_based,fairness_index,0.999,0.004,0.9578,1.0
hash_based,max_imbalance,54.1167,87.2552,0.0,1171.0
hash_based,decision_latency_us,2373.9667,66.1101,2302.4,2461.5
ecmp,throughput,59.5667,31.3999,0.0,89.0
ecmp,avg_rtt,22.3648,1.6236,17.669,26.97
ecmp,p95_rtt,26.3166,0.4695,24.821,27.582
ecmp,fairness_index,1.0,0.0,0.9997,1.0
ecmp,max_imbalance,26.2111,18.3848,0.0,100.0
ecmp,decision_latency_us,2432.4333,100.0239,2337.3,2570.2
drl,throughput,60.45,31.1531,0.0,104.0
drl,avg_rtt,22.2713,1.6648,17.718,26.271
drl,p95_rtt,26.3155,0.5223,25.121,27.691
drl,fairness_index,0.9523,0.112,0.3333,1.0
drl,max_imbalance,110.8667,104.2886,0.0,1125.0
drl,decision_latency_us,2661.2333,157.1539,2539.6,2882.5
