algorithm,trial,second,throughput,avg_rtt,p95_rtt,fairness_index,max_imbalance,h1_conns,h2_conns,h3_conns,decision_latency_us
round_robin,1,0.0,0,23.479,26.266,1.0,0,0,0,0,2401.6
round_robin,1,1.0,85,23.323,26.219,0.9997,6,0,0,6,2401.6
round_robin,1,2.0,86,23.553,26.831,1.0,1,34,34,33,2401.6
round_robin,1,3.0,52,23.487,26.067,1.0,1,61,62,61,2401.6
round_robin,1,4.0,32,23.41,26.283,1.0,2,89,90,88,2401.6
round_robin,1,5.0,86,23.38,26.577,1.0,3,117,118,115,2401.6
round_robin,1,6.0,66,23.38,26.577,1.0,3,117,118,115,2401.6
round_robin,1,7.0,89,23.896,27.236,1.0,2,136,136,134,2401.6
round_robin,1,8.0,0,23.728,26.106,1.0,2,164,163,162,2401.6
round_robin,1,9.0,86,23.47,26.129,1.0,1,191,191,190,2401.6
round_robin,1,10.0,86,24.166,27.451,1.0,2,219,219,217,2401.6
round_robin,1,11.0,73,24.166,27.451,1.0,2,219,219,217,2401.6
round_robin,1,12.0,12,23.604,26.174,1.0,3,247,247,244,2401.6
round_robin,1,13.0,87,23.241,26.073,1.0,4,275,275,271,2401.6
round_robin,1,14.0,82,23.069,26.419,1.0,6,297,303,298,2401.6
round_robin,1,15.0,37,22.962,25.984,1.0,6,314,315,309,2401.6
round_robin,1,16.0,45,22.962,25.984,1.0,6,314,315,309,2401.6
round_robin,1,17.0,86,23.171,26.189,1.0,5,331,332,327,2401.6
round_robin,1,18.0,47,23.458,26.286,1.0,5,358,360,355,2401.6
round_robin,1,19.0,40,23.611,26.227,1.0,5,385,388,383,2401.6
round_robin,1,20.0,86,23.267,26.198,1.0,33,412,416,383,2401.6
round_robin,1,21.0,81,23.163,25.927,1.0,5,412,416,411,2401.6
round_robin,1,22.0,36,23.289,26.386,1.0,6,440,444,438,2401.6
round_robin,1,23.0,47,23.76,26.704,1.0,7,468,472,465,2401.6
round_robin,1,24.0,84,23.427,26.46,1.0,6,496,499,493,2401.6
round_robin,1,25.0,88,23.65,27.001,1.0,5,524,526,521,2401.6
round_robin,1,26.0,11,23.65,27.001,1.0,5,524,526,521,2401.6
round_robin,1,27.0,70,23.399,26.329,1.0,6,552,554,548,2401.6
round_robin,1,28.0,20,23.933,26.496,1.0,3,555,557,554,2401.6
round_robin,1,29.0,81,23.716,26.615,1.0,30,583,584,554,2401.6
round_robin,1,30.0,67,23.644,26.598,1.0,22,604,584,582,2401.6
round_robin,1,31.0,19,23.262,26.377,1.0,9,604,613,610,2401.6
round_robin,1,32.0,82,22.936,25.863,1.0,12,626,636,638,2401.6
round_robin,1,33.0,87,23.155,25.85,1.0,21,646,657,667,2401.6
round_robin,1,34.0,31,23.196,25.85,1.0,14,671,657,667,2401.6
round_robin,1,35.0,55,23.045,25.863,1.0,17,671,679,688,2401.6
round_robin,1,36.0,87,23.064,25.89,1.0,27,695,701,722,2401.6
round_robin,1,37.0,77,23.327,26.872,1.0,17,729,741,746,2401.6
round_robin,1,38.0,21,23.327,26.872,1.0,17,729,741,746,2401.6
round_robin,1,39.0,61,23.452,26.375,1.0,19,754,773,773,2401.6
round_robin,1,40.0,87,23.356,25.888,1.0,9,793,802,801,2401.6
round_robin,1,41.0,86,23.125,26.43,1.0,15,814,824,829,2401.6
round_robin,1,42.0,11,23.125,26.43,1.0,15,814,824,829,2401.6
round_robin,1,43.0,72,24.364,30.431,1.0,19,838,847,857,2401.6
round_robin,1,44.0,81,23.325,26.642,1.0,20,861,871,881,2401.6
round_robin,1,45.0,86,23.227,26.11,1.0,16,885,889,901,2401.6
round_robin,1,46.0,1,23.448,26.11,1.0,24,913,889,901,2401.6
round_robin,1,47.0,86,23.916,27.314,1.0,7,913,913,920,2401.6
round_robin,1,48.0,81,23.513,26.321,1.0,1,940,940,941,2401.6
round_robin,1,49.0,66,23.503,26.465,1.0,2,966,968,968,2401.6
round_robin,1,50.0,21,23.196,26.336,1.0,3,993,996,996,2401.6
round_robin,1,51.0,80,23.196,26.336,1.0,3,993,996,996,2401.6
round_robin,1,52.0,81,23.578,26.685,1.0,3,1021,1024,1023,2401.6
round_robin,1,53.0,11,23.12,26.05,1.0,3,1049,1052,1050,2401.6
round_robin,1,54.0,75,24.173,27.284,1.0,3,1077,1080,1077,2401.6
round_robin,1,55.1,84,28.215,39.076,1.0,3,1105,1107,1104,2401.6
round_robin,1,56.1,83,28.215,39.076,1.0,3,1105,1107,1104,2401.6
round_robin,1,57.1,13,23.603,26.751,1.0,2,1133,1134,1132,2401.6
round_robin,1,58.1,57,23.563,26.226,1.0,1,1150,1150,1149,2401.6
round_robin,1,59.1,83,23.406,26.18,1.0,1,1178,1177,1177,2401.6
round_robin,2,0.0,0,23.46,26.131,1.0,0,0,0,0,2516.9
round_robin,2,1.0,86,23.363,26.267,0.9997,1,1124,1123,1123,2516.9
round_robin,2,2.0,1,23.363,26.267,1.0,1,1124,1123,1123,2516.9
round_robin,2,3.0,64,23.251,26.085,0.9999,2,1142,1141,1143,2516.9
round_robin,2,4.0,86,23.143,26.114,1.0,53,1090,1095,1143,2516.9
round_robin,2,5.0,12,23.557,27.212,1.0,6,1090,1095,1096,2516.9
round_robin,2,6.0,75,22.562,25.371,1.0,10,1115,1125,1123,2516.9
round_robin,2,7.0,86,22.705,25.391,1.0,14,1136,1146,1150,2516.9
round_robin,2,8.0,81,22.867,25.653,1.0,19,1075,1083,1094,2516.9
round_robin,2,9.0,11,22.837,25.653,1.0,13,1096,1083,1094,2516.9
round_robin,2,10.0,75,22.892,26.046,1.0,21,1096,1105,1117,2516.9
round_robin,2,11.0,86,23.378,26.384,1.0,3,1123,1123,1126,2516.9
round_robin,2,12.0,42,23.39,26.208,1.0,4,1068,1067,1071,2516.9
round_robin,2,13.0,40,23.888,27.046,1.0,3,1096,1095,1098,2516.9
round_robin,2,14.0,85,23.888,27.046,1.0,3,1096,1095,1098,2516.9
round_robin,2,15.0,81,23.233,25.991,1.0,3,1123,1123,1126,2516.9
