algorithm,metric,mean,std,min,max
round_robin,throughput,59.9417,27.9854,0.0,89.0
round_robin,avg_rtt,23.4438,0.6928,22.562,28.215
round_robin,p95_rtt,26.5496,1.7315,25.316,39.076
round_robin,fairness_index,1.0,0.0,0.9997,1.0
round_robin,max_imbalance,11.8583,13.7427,0.0,80.0
round_robin,decision_latency_us,2459.25,57.8917,2401.6,2516.9
weighted_round_robin,throughput,59.6417,29.7784,0.0,89.0
weighted_round_robin,avg_rtt,23.3483,0.7743,22.459,28.697
weighted_round_robin,p95_rtt,26.468,1.8043,25.0,40.258
weighted_round_robin,fairness_index,1.0,0.0,0.9997,1.0
weighted_round_robin,max_imbalance,27.275,101.2771,0.0,1105.0
weighted_round_robin,decision_latency_us,2776.2,170.7128,2606.2,2946.2
random,throughput,60.2167,29.1914,0.0,89.0
random,avg_rtt,23.2803,0.2966,22.526,24.111
random,p95_rtt,26.2318,0.4321,25.38,28.35
random,fairness_index,0.9986,0.0029,0.9822,1.0
random,max_imbalance,58.1167,172.5184,0.0,1123.0
random,decision_latency_us,2692.45,194.3615,2498.9,2886.0
least_connections,throughput,60.2083,31.3063,0.0,90.0
least_connections,avg_rtt,22.3949,1.3561,20.004,24.273
least_connections,p95_rtt,26.2132,0.4383,25.133,28.174
least_connections,fairness_index,0.9988,0.004,0.96,1.0
least_connections,max_imbalance,42.525,23.1259,0.0,129.0
least_connections,decision_latency_us,2622.0,48.2013,2574.0,2670.0
hash_based,throughput,62.7333,32.2917,0.0,95.0
hash_based,avg_rtt,23.2328,0.2835,22.578,23.913
hash_based,p95_rtt,26.1692,0.4153,25.265,28.489
hash_based,fairness_index,0.9981,0.004,0.9744,1.0
hash_based,max_imbalance,62.9167,28.7804,0.0,155.0
hash_based,decision_latency_us,2839.2,88.0677,2751.5,2926.9
ecmp,throughput,61.3667,30.3844,0.0,88.0
ecmp,avg_rtt,23.3777,0.3831,22.633,25.342
ecmp,p95_rtt,26.314,0.3965,25.436,28.608
ecmp,fairness_index,1.0,0.0,0.9997,1.0
ecmp,max_imbalance,23.8417,22.1299,0.0,93.0
ecmp,decision_latency_us,2531.8,75.7161,2456.4,2607.2
drl,throughput,61.3583,31.5013,0.0,89.0
drl,avg_rtt,23.3001,0.2757,22.473,23.827
drl,p95_rtt,26.2578,0.4033,25.313,27.759
drl,fairness_index,0.9597,0.1149,0.3333,1.0
drl,max_imbalance,99.1333,58.8496,0.0,264.0
drl,decision_latency_us,2594.25,48.6531,2545.8,2642.7
