algorithm,trial,second,throughput,avg_rtt,p95_rtt,fairness_index,fairness_alive,max_imbalance,h1_conns,h2_conns,h3_conns,h1_sels,h2_sels,h3_sels,h1_rtt,h2_rtt,h3_rtt,h1_alive,h2_alive,h3_alive,decision_latency_us
round_robin,1,0,0,20.387,26.17,1.0,1.0,0,0,0,0,0,0,0,0.026216,0.025752,0.009192,1,1,1,2277.9
round_robin,1,1,87,19.904,25.537,1.0,1.0,107,1144,1037,1123,29,29,29,0.025561,0.025317,0.008835,1,1,1,2277.9
round_robin,1,2,87,20.662,26.434,1.0,1.0,116,1192,1076,1152,58,58,58,0.026449,0.026296,0.00924,1,1,1,2277.9
round_robin,1,3,87,20.372,26.224,1.0,1.0,165,987,1076,1152,87,87,87,0.025579,0.026296,0.00924,1,1,1,2277.9
round_robin,1,4,0,20.156,25.606,1.0,1.0,189,987,1101,1176,87,87,87,0.025579,0.025609,0.00928,1,1,1,2277.9
round_robin,1,5,81,20.546,26.186,1.0,1.0,187,1016,1129,1203,114,114,114,0.025888,0.026219,0.00953,1,1,1,2277.9
round_robin,1,6,45,20.86,26.866,1.0,1.0,188,1028,1141,1216,129,129,129,0.026195,0.026941,0.009443,1,1,1,2277.9
round_robin,1,7,82,20.722,26.414,1.0,1.0,244,972,1086,1216,157,156,156,0.026297,0.026427,0.009443,1,1,1,2277.9
round_robin,1,8,52,20.696,26.414,1.0,1.0,188,972,1086,1160,174,174,173,0.026297,0.026427,0.009364,1,1,1,2277.9
round_robin,1,9,35,20.276,26.026,1.0,1.0,186,1002,1114,1188,186,185,185,0.025253,0.026112,0.009464,1,1,1,2277.9
round_robin,1,10,83,19.962,25.245,1.0,1.0,196,1020,1142,1216,213,213,213,0.02525,0.0252,0.009436,1,1,1,2277.9
round_robin,1,11,36,20.483,26.115,1.0,1.0,190,1034,1150,1224,225,225,225,0.025974,0.026131,0.009344,1,1,1,2277.9
round_robin,1,12,50,20.632,26.391,1.0,1.0,220,1004,1150,1224,242,242,241,0.02642,0.026131,0.009344,1,1,1,2277.9
round_robin,1,13,86,20.548,26.338,1.0,1.0,120,1004,1087,1124,271,270,270,0.02642,0.025599,0.009626,1,1,1,2277.9
round_robin,1,14,84,20.59,26.403,1.0,1.0,120,1032,1114,1152,299,298,298,0.026467,0.025823,0.00948,1,1,1,2277.9
round_robin,1,15,36,20.726,26.489,1.0,1.0,122,1058,1142,1180,311,310,310,0.026525,0.026164,0.00949,1,1,1,2277.9
round_robin,1,16,51,21.084,26.775,1.0,1.0,202,1082,1167,965,328,327,327,0.026849,0.026106,0.010297,1,1,1,2277.9
round_robin,1,17,87,20.955,26.426,1.0,1.0,202,1109,1167,965,357,356,356,0.026462,0.026106,0.010297,1,1,1,2277.9
round_robin,1,18,84,20.724,26.428,1.0,1.0,202,1109,1195,993,385,384,384,0.026462,0.026121,0.009588,1,1,1,2277.9
round_robin,1,19,41,20.575,26.233,1.0,1.0,202,1136,1223,1021,398,398,398,0.025805,0.026281,0.009638,1,1,1,2277.9
round_robin,1,20,44,20.639,26.181,1.0,1.0,68,1113,1056,1045,413,413,412,0.026197,0.026038,0.009682,1,1,1,2277.9
round_robin,1,21,83,20.568,26.077,1.0,1.0,68,1141,1083,1073,441,440,440,0.026101,0.025863,0.009741,1,1,1,2277.9
round_robin,1,22,84,20.612,26.195,1.0,1.0,95,1168,1083,1073,469,468,468,0.026232,0.025863,0.009741,1,1,1,2277.9
round_robin,1,23,46,20.449,26.206,1.0,1.0,67,1168,1111,1101,484,484,483,0.026232,0.02597,0.009144,1,1,1,2277.9
round_robin,1,24,40,20.557,26.207,1.0,1.0,151,1196,1056,1045,497,497,497,0.025984,0.026232,0.009456,1,1,1,2277.9
round_robin,1,25,86,22.137,29.866,1.0,1.0,68,1140,1084,1072,526,526,525,0.030166,0.02717,0.009074,1,1,1,2277.9
round_robin,1,26,36,20.753,26.076,1.0,1.0,69,1151,1093,1082,538,538,537,0.025733,0.026114,0.010413,1,1,1,2277.9
round_robin,1,27,45,20.98,26.382,1.0,1.0,88,1170,1093,1082,553,553,552,0.026412,0.026114,0.010413,1,1,1,2277.9
round_robin,1,28,82,20.752,26.403,1.0,1.0,69,1170,1112,1101,580,580,580,0.026412,0.026326,0.009517,1,1,1,2277.9
round_robin,1,29,82,20.773,26.524,1.0,1.0,70,1114,1135,1065,608,607,607,0.026539,0.02639,0.009391,1,1,1,2277.9
round_robin,1,30,51,20.837,26.561,1.0,1.0,71,1142,1163,1092,625,624,624,0.026565,0.026523,0.009422,0,1,1,2277.9
round_robin,1,31,0,9.75,12.493,1.0,1.0,89,1154,1176,1087,625,624,624,0.012489,0.012493,0.004269,0,1,1,2277.9
round_robin,1,32,1,9.822,12.641,1.0,1.0,199,974,1173,1087,625,625,624,0.012545,0.012652,0.004269,0,1,1,2277.9
round_robin,1,33,1,9.807,12.641,1.0,1.0,199,974,1173,1021,625,625,625,0.012545,0.012652,0.004224,0,1,1,2277.9
round_robin,1,34,0,10.103,12.67,1.0,1.0,199,974,1173,1021,625,625,625,0.012555,0.012683,0.005071,0,1,1,2277.9
round_robin,1,35,1,9.825,12.614,1.0,1.0,199,974,1173,1021,626,625,625,0.012619,0.012566,0.004291,0,1,1,2277.9
round_robin,1,36,1,9.845,12.589,1.0,1.0,73,945,956,1018,626,626,625,0.012594,0.01254,0.0044,0,1,1,2277.9
