time_to_adapt,failed_request_count,fairness_among_alive,algorithm,trial,avg_decision_latency_us
60,48,1.0,round_robin,1,2277.9
60,36,0.9999833333333334,round_robin,2,2443.0
60,33,0.9999833333333334,round_robin,3,2441.5
60,36,0.9999822222222222,weighted_round_robin,1,2377.1
60,33,0.9999822222222222,weighted_round_robin,2,2457.0
60,36,0.9999822222222222,weighted_round_robin,3,2495.6
7,31,0.9981144444444445,random,1,2432.3
0,29,0.9899544444444445,random,2,2480.5
2,30,0.9975966666666666,random,3,2371.3
10,38,0.9939600000000001,least_connections,1,2464.0
14,31,0.9982877777777778,least_connections,2,2375.8
4,24,0.9979600000000001,least_connections,3,2347.3
41,36,0.9997866666666668,hash_based,1,2336.4
45,31,0.9993777777777779,hash_based,2,2636.0
9,33,0.9984122222222224,hash_based,3,2489.4
60,36,0.9999822222222222,ecmp,1,2534.9
60,33,0.9999833333333334,ecmp,2,2459.5
60,33,0.9999833333333334,ecmp,3,2390.8
25,26,0.6866733333333332,drl,1,2421.5
24,25,0.6898855555555555,drl,2,2563.2
26,27,0.6899988888888889,drl,3,2391.3
