algorithm,trial,second,throughput,avg_rtt,p95_rtt,fairness_index,max_imbalance,h1_conns,h2_conns,h3_conns,decision_latency_us
round_robin,1,0.0,0,23.355,26.326,1.0,0,0,0,0,2502.1
round_robin,1,1.0,79,23.615,26.257,0.9997,3,30,27,28,2502.1
round_robin,1,2.0,85,23.315,26.088,0.9999,2,57,55,56,2502.1
round_robin,1,3.0,84,23.315,26.088,1.0,2,57,55,56,2502.1
round_robin,1,4.0,1,23.675,26.599,1.0,3,85,82,84,2502.1
round_robin,1,5.0,85,23.09,26.03,1.0,4,108,109,112,2502.1
round_robin,1,6.0,88,23.167,26.356,1.0,14,126,133,140,2502.1
round_robin,1,7.0,64,23.447,26.442,1.0,12,145,152,140,2502.1
round_robin,1,8.0,23,23.217,26.179,1.0,19,145,152,164,2502.1
round_robin,1,9.0,84,23.267,26.257,1.0,14,169,168,182,2502.1
round_robin,1,10.0,84,23.433,26.488,1.0,9,197,192,201,2502.1
round_robin,1,11.0,1,23.136,26.076,1.0,6,225,219,225,2502.1
round_robin,1,12.0,81,23.177,26.082,1.0,28,253,246,225,2502.1
round_robin,1,13.0,87,23.287,26.379,1.0,7,253,246,253,2502.1
round_robin,1,14.0,78,23.667,26.444,1.0,7,281,274,280,2502.1
round_robin,1,15.0,6,23.789,26.752,1.0,7,309,302,307,2502.1
round_robin,1,16.0,86,23.286,26.07,1.0,7,337,330,334,2502.1
round_robin,1,17.0,84,23.539,26.07,1.0,35,365,330,334,2502.1
round_robin,1,18.0,62,24.063,26.751,1.0,8,365,357,362,2502.1
round_robin,1,19.0,20,23.451,26.271,1.0,9,393,384,390,2502.1
round_robin,1,20.0,83,23.242,26.158,1.0,9,421,412,417,2502.1
round_robin,1,21.0,56,23.673,26.181,1.0,9,436,427,434,2502.1
round_robin,1,22.0,86,23.345,26.181,1.0,36,463,427,434,2502.1
round_robin,1,23.0,20,23.361,26.189,1.0,8,463,455,462,2502.1
round_robin,1,24.0,67,23.313,26.239,1.0,6,489,483,489,2502.1
round_robin,1,25.0,81,22.956,26.023,1.0,7,509,510,516,2502.1
round_robin,1,26.0,61,23.052,25.865,1.0,11,524,516,527,2502.1
round_robin,1,27.0,25,23.341,25.865,1.0,32,548,516,527,2502.1
round_robin,1,28.0,86,23.676,26.551,1.0,8,548,540,545,2502.1
round_robin,1,29.0,86,23.348,26.484,1.0,8,576,568,571,2502.1
round_robin,1,30.0,56,23.8,26.988,1.0,7,603,596,599,2502.1
round_robin,1,31.0,30,23.391,26.102,1.0,8,631,623,624,2502.1
round_robin,1,32.0,82,23.391,26.102,1.0,8,631,623,624,2502.1
round_robin,1,33.0,87,23.288,26.33,1.0,9,659,650,651,2502.1
round_robin,1,34.0,61,23.486,26.318,1.0,10,687,677,679,2502.1
round_robin,1,35.0,23,23.478,26.45,1.0,10,715,705,706,2502.1
round_robin,1,36.0,79,23.806,26.809,1.0,12,739,727,727,2502.1
round_robin,1,37.0,85,23.806,26.809,1.0,12,739,727,727,2502.1
round_robin,1,38.0,81,23.743,26.489,1.0,11,766,755,755,2502.1
round_robin,1,39.0,1,23.511,26.541,1.0,12,794,782,783,2502.1
round_robin,1,40.0,81,23.614,26.569,1.0,13,822,809,811,2502.1
round_robin,1,41.0,81,23.69,27.043,1.0,39,850,837,811,2502.1
round_robin,1,42.0,84,23.602,27.017,1.0,13,850,837,838,2502.1
round_robin,1,43.0,0,23.224,26.135,1.0,13,878,865,865,2502.1
round_robin,1,44.0,81,22.966,25.969,1.0,14,906,893,892,2502.1
round_robin,1,45.0,87,24.198,26.454,1.0,13,932,921,919,2502.1
round_robin,1,46.0,1,23.473,26.454,1.0,16,935,921,919,2502.1
round_robin,1,47.0,84,23.426,26.485,1.0,13,935,922,927,2502.1
round_robin,1,48.0,86,23.6,26.501,1.0,16,963,950,947,2502.1
round_robin,1,49.0,57,23.354,26.166,1.0,17,991,977,974,2502.1
round_robin,1,50.1,25,23.423,26.466,1.0,18,1019,1005,1001,2502.1
round_robin,1,51.1,84,23.369,26.466,1.0,46,1047,1005,1001,2502.1
round_robin,1,52.1,87,23.042,25.935,1.0,19,1047,1033,1028,2502.1
round_robin,1,53.1,61,23.349,26.379,1.0,18,1074,1061,1056,2502.1
round_robin,1,54.1,20,23.529,26.226,1.0,17,1101,1089,1084,2502.1
round_robin,1,55.1,87,23.555,26.404,1.0,15,1126,1116,1111,2502.1
round_robin,1,56.1,83,23.555,26.404,1.0,15,1126,1116,1111,2502.1
round_robin,1,57.1,7,23.808,27.009,1.0,15,1153,1144,1138,2502.1
round_robin,1,58.1,75,23.316,26.464,1.0,17,1179,1169,1162,2502.1
round_robin,1,59.1,81,23.115,26.386,1.0,11,1201,1197,1190,2502.1
round_robin,2,0.0,0,23.414,26.414,1.0,0,0,0,0,3164.9
round_robin,2,1.0,82,22.975,26.127,0.9997,10,1150,1152,1142,3164.9
round_robin,2,2.0,84,23.138,26.144,0.9999,8,1170,1177,1169,3164.9
round_robin,2,3.0,77,23.074,26.135,1.0,31,1193,1200,1169,3164.9
round_robin,2,4.0,4,23.315,26.787,1.0,88,1193,1200,1112,3164.9
round_robin,2,5.0,81,22.775,25.699,1.0,9,1132,1141,1137,3164.9
round_robin,2,6.0,83,23.81,27.392,1.0,26,1156,1182,1168,3164.9
round_robin,2,7.0,76,23.635,27.392,1.0,32,1200,1182,1168,3164.9
round_robin,2,8.0,5,23.209,26.208,1.0,97,1200,1210,1113,3164.9
round_robin,2,9.0,83,22.637,25.533,1.0,12,1138,1150,1141,3164.9
round_robin,2,10.0,84,22.897,25.677,1.0,12,1159,1171,1164,3164.9
round_robin,2,11.0,11,23.797,26.566,1.0,16,1183,1185,1169,3164.9
round_robin,2,12.0,75,23.797,26.566,1.0,16,1183,1185,1169,3164.9
round_robin,2,13.0,77,23.202,26.039,1.0,13,1126,1128,1115,3164.9
round_robin,2,14.0,83,24.112,27.042,1.0,13,1148,1149,1136,3164.9
round_robin,2,15.0,1,23.436,26.147,1.0,14,1176,1177,1163,3164.9
round_robin,2,16.0,83,23.377,26.125,1.0,30,1133,1134,1163,3164.9
round_robin,2,17.0,82,23.764,27.17,1.0,14,1133,1134,1120,3164.9
round_robin,2,18.0,56,23.408,26.278,1.0,13,1161,1161,1148,3164.9
round_robin,2,19.0,42,23.54,26.655,1.0,13,1177,1177,1164,3164.9
round_robin,2,20.0,45,23.28,25.976,1.0,12,1122,1120,1110,3164.9
round_robin,2,21.0,82,23.658,26.382,1.0,40,1150,1147,1110,3164.9
round_robin,2,22.0,83,23.731,26.404,1.0,12,1150,1147,1138,3164.9
round_robin,2,23.0,41,23.684,26.349,1.0,12,1178,1174,1166,3164.9
round_robin,2,24.0,45,23.756,26.296,1.0,36,1149,1117,1113,3164.9
round_robin,2,25.0,83,23.507,26.176,1.0,9,1150,1145,1141,3164.9
round_robin,2,26.0,85,23.622,26.176,1.0,37,1178,1145,1141,3164.9
round_robin,2,27.0,31,23.48,26.006,1.0,10,1178,1173,1168,3164.9
round_robin,2,28.0,51,23.073,25.814,1.0,9,1205,1201,1196,3164.9
round_robin,2,29.0,87,23.487,26.294,1.0,7,1147,1145,1140,3164.9
round_robin,2,30.0,36,23.845,27.119,1.0,8,1158,1154,1150,3164.9
round_robin,2,31.0,50,23.845,27.119,1.0,8,1158,1154,1150,3164.9
round_robin,2,32.0,83,23.694,27.328,1.0,7,1176,1174,1169,3164.9
round_robin,2,33.0,87,23.31,26.244,1.0,3,1125,1123,1122,3164.9
round_robin,2,34.0,0,23.41,26.219,1.0,4,1153,1151,1149,3164.9
round_robin,2,35.0,85,23.234,26.219,1.0,32,1181,1151,1149,3164.9
round_robin,2,36.0,87,28.288,39.602,1.0,5,1181,1178,1176,3164.9
round_robin,2,37.0,72,23.502,26.552,1.0,3,1123,1124,1121,3164.9
round_robin,2,38.0,11,23.272,26.073,1.0,3,1150,1152,1149,3164.9
round_robin,2,39.0,85,23.332,25.765,1.0,4,1178,1180,1176,3164.9
round_robin,2,40.0,67,23.123,25.765,1.0,64,1116,1180,1176,3164.9
round_robin,2,41.0,19,23.548,26.543,1.0,8,1116,1124,1122,3164.9
round_robin,2,42.0,81,23.538,27.015,1.0,16,1134,1150,1146,3164.9
round_robin,2,43.0,86,23.535,26.365,1.0,14,1166,1180,1173,3164.9
round_robin,2,44.0,37,23.535,26.365,1.0,14,1166,1180,1173,3164.9
round_robin,2,45.0,45,22.662,25.329,1.0,14,1105,1119,1119,3164.9
round_robin,2,46.0,86,22.811,25.563,1.0,15,1130,1142,1145,3164.9
round_robin,2,47.0,82,22.719,25.763,1.0,21,1152,1163,1173,3164.9
round_robin,2,48.0,31,22.99,25.763,1.0,73,1100,1163,1173,3164.9
round_robin,2,49.0,52,23.388,25.997,1.0,20,1100,1120,1116,3164.9
round_robin,2,50.0,87,23.153,26.495,1.0,10,1139,1149,1144,3164.9
round_robin,2,51.0,84,23.355,26.612,1.0,28,1163,1172,1144,3164.9
round_robin,2,52.1,31,23.5,27.005,1.0,10,1163,1172,1173,3164.9
round_robin,2,53.1,53,22.865,26.004,1.0,4,1113,1116,1117,3164.9
round_robin,2,54.1,86,23.832,26.114,1.0,11,1134,1141,1145,3164.9
round_robin,2,55.1,11,23.313,26.079,1.0,7,1153,1146,1149,3164.9
round_robin,2,56.1,75,23.313,26.079,1.0,7,1153,1146,1149,3164.9
round_robin,2,57.1,85,23.484,26.508,1.0,62,1177,1115,1118,3164.9
round_robin,2,58.1,82,23.373,26.212,1.0,6,1149,1143,1143,3164.9
round_robin,2,59.1,7,23.676,26.537,1.0,5,1176,1171,1171,3164.9
round_robin,3,0.0,0,23.349,26.503,1.0,0,0,0,0,2161.7
round_robin,3,1.0,81,22.729,25.93,1.0,8,1124,1116,1120,2161.7
round_robin,3,2.0,82,23.277,26.488,0.9999,7,1151,1144,1147,2161.7
round_robin,3,3.0,81,23.243,26.488,1.0,54,1093,1144,1147,2161.7
round_robin,3,4.0,6,23.468,26.514,1.0,6,1093,1087,1090,2161.7
round_robin,3,5.0,86,23.457,26.367,1.0,1,1117,1117,1118,2161.7
round_robin,3,6.0,86,23.351,26.447,1.0,7,1138,1143,1145,2161.7
round_robin,3,7.0,66,23.458,26.447,1.0,52,1093,1143,1145,2161.7
round_robin,3,8.0,20,23.064,26.007,1.0,4,1093,1097,1097,2161.7
round_robin,3,9.0,81,22.99,25.647,1.0,10,1114,1121,1124,2161.7
round_robin,3,10.0,77,23.69,26.697,1.0,4,1150,1147,1146,2161.7
round_robin,3,11.0,84,23.531,26.697,1.0,49,1098,1147,1146,2161.7
round_robin,3,12.0,0,23.421,26.505,1.0,5,1098,1095,1093,2161.7
round_robin,3,13.0,82,22.939,25.987,1.0,3,1121,1123,1120,2161.7
round_robin,3,14.0,85,23.29,26.407,1.0,4,1150,1149,1146,2161.7
round_robin,3,15.0,81,23.185,26.407,1.0,44,1105,1149,1146,2161.7
round_robin,3,16.0,11,23.303,26.296,1.0,3,1105,1106,1103,2161.7
round_robin,3,17.0,75,23.377,25.908,1.0,3,1130,1133,1131,2161.7
round_robin,3,18.0,85,23.139,26.177,1.0,7,1154,1161,1159,2161.7
round_robin,3,19.0,20,23.087,26.177,1.0,6,1165,1161,1159,2161.7
round_robin,3,20.0,62,23.287,26.022,1.0,62,1165,1104,1103,2161.7
round_robin,3,21.0,86,23.813,26.116,1.0,9,1125,1134,1130,2161.7
round_robin,3,22.0,71,22.991,26.116,1.0,19,1149,1134,1130,2161.7
round_robin,3,23.0,11,22.791,25.586,1.0,9,1149,1155,1158,2161.7
round_robin,3,24.0,82,22.848,25.904,1.0,13,1089,1094,1102,2161.7
round_robin,3,25.0,79,23.578,26.568,1.0,9,1129,1125,1120,2161.7
round_robin,3,26.0,83,23.44,26.486,1.0,35,1155,1153,1120,2161.7
round_robin,3,27.0,16,23.279,26.052,1.0,7,1155,1153,1148,2161.7
round_robin,3,28.0,65,23.11,26.219,1.0,9,1093,1100,1091,2161.7
