algorithm,trial,second,throughput,avg_rtt,p95_rtt,fairness_index,fairness_alive,max_imbalance,h1_conns,h2_conns,h3_conns,h1_sels,h2_sels,h3_sels,h1_rtt,h2_rtt,h3_rtt,h1_alive,h2_alive,h3_alive,decision_latency_us
round_robin,1,0,0,15.374,24.559,1.0,1.0,0,0,0,0,0,0,0,0.007425,0.012837,0.025861,1,1,1,2080.4
round_robin,1,1,1,15.376,24.518,0.3333,0.3333,53,0,0,53,1,0,0,0.007429,0.01289,0.02581,1,1,1,2080.4
round_robin,1,2,1,15.334,24.488,0.6667,0.6667,53,0,0,53,1,1,0,0.007606,0.012587,0.02581,1,1,1,2080.4
round_robin,1,3,11,15.33,24.475,0.9883,0.9883,55,0,0,55,5,4,4,0.007606,0.012587,0.025796,1,1,1,2080.4
round_robin,1,4,1,15.362,24.689,0.9899,0.9899,52,0,0,52,5,5,4,0.007496,0.012553,0.026037,1,1,1,2080.4
round_robin,1,5,11,15.714,25.49,0.9968,0.9968,54,0,0,54,9,8,8,0.007443,0.0128,0.0269,1,1,1,2080.4
round_robin,1,6,1,15.491,25.002,0.9971,0.9971,55,0,0,55,9,9,8,0.007432,0.012667,0.026373,1,1,1,2080.4
round_robin,1,7,11,15.543,24.811,0.9985,0.9985,54,0,0,54,13,12,12,0.007711,0.012768,0.026149,1,1,1,2080.4
round_robin,1,8,1,15.496,24.811,0.9986,0.9986,54,0,0,54,13,13,12,0.00757,0.012768,0.026149,1,1,1,2080.4
round_robin,1,9,11,15.316,24.545,0.9992,0.9992,55,0,0,55,17,16,16,0.00757,0.012493,0.025884,1,1,1,2080.4
round_robin,1,10,1,15.429,24.398,0.9992,0.9992,57,0,0,57,17,17,16,0.008005,0.012571,0.025712,1,1,1,2080.4
round_robin,1,11,11,15.232,24.52,0.9995,0.9995,55,0,0,55,21,20,20,0.007401,0.012431,0.025863,1,1,1,2080.4
round_robin,1,12,1,15.378,24.754,0.9995,0.9995,56,0,0,56,21,21,20,0.00743,0.012601,0.026104,1,1,1,2080.4
round_robin,1,13,11,15.487,24.98,0.9996,0.9996,58,0,0,58,25,24,24,0.007519,0.012584,0.026357,1,1,1,2080.4
round_robin,1,14,1,15.792,24.98,0.9996,0.9996,58,0,0,58,25,25,24,0.008434,0.012584,0.026357,1,1,1,2080.4
round_robin,1,15,11,15.887,25.049,0.9997,0.9997,59,0,0,59,29,28,28,0.008434,0.01282,0.026408,1,1,1,2080.4
round_robin,1,16,1,15.587,25.122,0.9997,0.9997,58,0,0,58,29,29,28,0.00743,0.012845,0.026486,1,1,1,2080.4
round_robin,1,17,11,15.289,24.546,0.9998,0.9998,59,0,0,59,33,32,32,0.007415,0.012575,0.025876,1,1,1,2080.4
round_robin,1,18,1,15.612,25.341,0.9998,0.9998,61,0,0,61,33,33,32,0.007459,0.012623,0.026754,1,1,1,2080.4
