p95_rtt_burst,queue_saturation_events,recovery_time,algorithm,trial,avg_decision_latency_us
15.892299999999999,119,22.0,round_robin,1,2080.4
15.841849999999999,119,22.0,round_robin,2,2101.1
15.8639,119,22.0,round_robin,3,2102.6
15.735999999999999,119,22.0,weighted_round_robin,1,2044.0
15.7836,118,22.0,weighted_round_robin,2,1887.8
15.776,119,22.0,weighted_round_robin,3,1997.8
15.81345,118,22.0,random,1,2038.6
15.76885,119,22.0,random,2,2155.6
16.23305,119,22.0,random,3,2630.9
15.953,119,22.0,least_connections,1,2326.9
16.0704,119,22.0,least_connections,2,2575.0
16.1809,119,22.0,least_connections,3,2154.7
15.943000000000001,119,22.0,hash_based,1,1985.0
16.098699999999997,119,22.0,hash_based,2,2431.8
15.98305,119,22.0,hash_based,3,2110.6
16.02415,119,22.0,ecmp,1,2505.6
15.936449999999999,119,22.0,ecmp,2,2159.5
15.896600000000001,119,22.0,ecmp,3,2327.6
15.82095,118,15.0,drl,1,2231.2
15.732149999999999,118,15.0,drl,2,2305.2
15.769300000000001,118,15.0,drl,3,2335.0
