algorithm,trial,second,throughput,avg_rtt,p95_rtt,fairness_index,fairness_alive,max_imbalance,h1_conns,h2_conns,h3_conns,h1_sels,h2_sels,h3_sels,h1_rtt,h2_rtt,h3_rtt,h1_alive,h2_alive,h3_alive,decision_latency_us
round_robin,1,0,0,15.44,24.926,1.0,1.0,0,0,0,0,0,0,0,0.007477,0.01254,0.026302,1,1,1,2209.1
round_robin,1,1,1,15.987,25.962,0.3333,0.3333,51,0,0,51,1,0,0,0.007465,0.013107,0.02739,1,1,1,2209.1
round_robin,1,2,1,15.563,25.329,0.6667,0.6667,52,0,0,52,1,1,0,0.007394,0.012546,0.026749,1,1,1,2209.1
round_robin,1,3,11,15.72,25.179,0.9883,0.9883,54,0,0,54,5,4,4,0.00767,0.012954,0.026537,1,1,1,2209.1
round_robin,1,4,1,15.72,25.179,0.9899,0.9899,54,0,0,54,5,5,4,0.00767,0.012954,0.026537,1,1,1,2209.1
round_robin,1,5,11,15.465,25.026,0.9968,0.9968,55,0,0,55,9,8,8,0.007414,0.012571,0.02641,1,1,1,2209.1
round_robin,1,6,1,15.982,25.139,0.9971,0.9971,53,0,0,53,9,9,8,0.008227,0.01326,0.026459,1,1,1,2209.1
round_robin,1,7,11,15.837,25.968,0.9985,0.9985,55,0,0,55,13,12,12,0.007504,0.012549,0.027459,1,1,1,2209.1
round_robin,1,8,1,15.796,25.156,0.9986,0.9986,56,0,0,56,13,13,12,0.007472,0.013459,0.026456,1,1,1,2209.1
round_robin,1,9,11,15.464,25.021,0.9992,0.9992,55,0,0,55,17,16,16,0.007413,0.012576,0.026404,1,1,1,2209.1
round_robin,1,10,1,15.462,25.021,0.9992,0.9992,55,0,0,55,17,17,16,0.007406,0.012576,0.026404,1,1,1,2209.1
round_robin,1,11,11,15.451,24.993,0.9995,0.9995,56,0,0,56,21,20,20,0.007406,0.012575,0.026373,1,1,1,2209.1
round_robin,1,12,1,15.374,24.848,0.9995,0.9995,58,0,0,58,21,21,20,0.007332,0.012577,0.026212,1,1,1,2209.1
round_robin,1,13,11,15.499,24.921,0.9996,0.9996,56,0,0,56,25,24,24,0.007414,0.012817,0.026266,1,1,1,2209.1
round_robin,1,14,1,15.349,24.788,0.9996,0.9996,58,0,0,58,25,25,24,0.007381,0.012514,0.026152,1,1,1,2209.1
round_robin,1,15,11,15.812,25.886,0.9997,0.9997,60,0,0,60,29,28,28,0.007484,0.012587,0.027364,1,1,1,2209.1
round_robin,1,16,1,15.786,25.886,0.9997,0.9997,60,0,0,60,29,29,28,0.007407,0.012587,0.027364,1,1,1,2209.1
round_robin,1,17,11,15.719,25.528,0.9998,0.9998,61,0,0,61,33,32,32,0.007407,0.012807,0.026942,1,1,1,2209.1
round_robin,1,18,1,15.732,24.829,0.9998,0.9998,59,0,0,59,33,33,32,0.007437,0.013691,0.026067,1,1,1,2209.1
round_robin,1,19,11,15.616,25.385,0.9998,0.9998,60,0,0,60,37,36,36,0.007481,0.012556,0.026811,1,1,1,2209.1
round_robin,1,20,1,15.521,25.126,0.9998,0.9998,62,0,0,62,37,37,36,0.007441,0.012606,0.026517,1,1,1,2209.1
round_robin,1,21,11,15.525,25.007,0.9999,0.9999,62,0,0,62,41,40,40,0.007405,0.012807,0.026363,1,1,1,2209.1
round_robin,1,22,1,15.539,25.007,0.9999,0.9999,62,0,0,62,41,41,40,0.007446,0.012807,0.026363,1,1,1,2209.1
round_robin,1,23,7,15.782,25.713,1.0,1.0,62,0,0,62,43,43,43,0.007446,0.012745,0.027154,1,1,1,2209.1
round_robin,1,24,4,15.786,25.428,0.9999,0.9999,64,0,0,64,45,44,44,0.007861,0.01265,0.026848,1,1,1,2209.1
round_robin,1,25,1,15.531,25.043,0.9999,0.9999,65,0,0,65,45,45,44,0.007295,0.012907,0.026392,1,1,1,2209.1
round_robin,1,26,11,15.395,24.85,0.9999,0.9999,63,0,0,63,49,48,48,0.007447,0.012518,0.02622,1,1,1,2209.1
round_robin,1,27,1,15.531,24.951,0.9999,0.9999,64,0,0,64,49,49,48,0.007688,0.012581,0.026325,1,1,1,2209.1
round_robin,1,28,11,15.531,24.951,0.9999,0.9999,64,0,0,64,53,52,52,0.007688,0.012581,0.026325,1,1,1,2209.1
round_robin,1,29,1,16.21,25.938,0.9999,0.9999,66,0,0,66,53,53,52,0.008432,0.012799,0.027398,1,1,1,2209.1
round_robin,1,30,11,15.549,25.182,0.9999,0.9999,65,0,0,65,57,56,56,0.007412,0.012663,0.026573,1,1,1,2209.1
round_robin,1,31,1,15.549,25.243,0.9999,0.9999,66,0,0,66,57,57,56,0.007395,0.012606,0.026647,1,1,1,2209.1
round_robin,1,32,11,15.534,25.067,0.9999,0.9999,69,0,0,69,61,60,60,0.00739,0.012778,0.026433,1,1,1,2209.1
round_robin,1,33,1,15.486,25.028,0.9999,0.9999,66,0,0,66,61,61,60,0.007454,0.012595,0.026409,1,1,1,2209.1
round_robin,1,34,11,15.48,25.028,0.9999,0.9999,66,0,0,66,65,64,64,0.007435,0.012595,0.026409,1,1,1,2209.1
round_robin,1,35,1,15.445,24.924,0.9999,0.9999,68,0,0,68,65,65,64,0.007435,0.012608,0.026293,1,1,1,2209.1
round_robin,1,36,11,15.335,24.76,1.0,1.0,69,0,0,69,69,68,68,0.007349,0.012537,0.026118,1,1,1,2209.1
round_robin,1,37,1,15.574,25.286,1.0,1.0,71,0,0,71,69,69,68,0.007399,0.012632,0.026692,1,1,1,2209.1
round_robin,1,38,11,15.527,24.979,1.0,1.0,69,0,0,69,73,72,72,0.00741,0.012843,0.026327,1,1,1,2209.1
