algorithm,trial,second,throughput,avg_rtt,p95_rtt,fairness_index,fairness_alive,max_imbalance,h1_conns,h2_conns,h3_conns,h1_sels,h2_sels,h3_sels,h1_rtt,h2_rtt,h3_rtt,h1_alive,h2_alive,h3_alive,decision_latency_us
round_robin,1,0,0,15.421,24.677,1.0,1.0,0,0,0,0,0,0,0,0.011711,0.008433,0.026118,1,1,1,2115.4
round_robin,1,1,1,15.438,24.526,0.3333,0.3333,27,0,27,3,1,0,0,0.011711,0.008654,0.02595,1,1,1,2115.4
round_robin,1,2,1,15.619,25.426,0.6667,0.6667,27,0,27,4,1,1,0,0.01145,0.008428,0.026979,1,1,1,2115.4
round_robin,1,3,11,15.363,24.779,0.9883,0.9883,27,0,27,6,5,4,4,0.01146,0.00837,0.026259,1,1,1,2115.4
round_robin,1,4,1,15.352,24.761,0.9899,0.9899,27,0,27,7,5,5,4,0.011391,0.008418,0.026247,1,1,1,2115.4
round_robin,1,5,11,15.558,25.007,0.9968,0.9968,27,0,27,9,9,8,8,0.011754,0.008441,0.02648,1,1,1,2115.4
round_robin,1,6,1,15.625,25.026,0.9971,0.9971,27,0,27,9,9,9,8,0.011939,0.008455,0.02648,1,1,1,2115.4
round_robin,1,7,11,15.489,24.66,0.9985,0.9985,27,0,27,10,13,12,12,0.011939,0.008455,0.026074,1,1,1,2115.4
round_robin,1,8,1,15.325,24.518,0.9986,0.9986,27,0,27,12,13,13,12,0.011545,0.008469,0.02596,1,1,1,2115.4
round_robin,1,9,11,15.454,25.038,0.9992,0.9992,27,0,27,14,17,16,16,0.011583,0.008245,0.026533,1,1,1,2115.4
round_robin,1,10,1,15.331,24.608,0.9992,0.9992,27,0,27,15,17,17,16,0.011495,0.008433,0.026065,1,1,1,2115.4
round_robin,1,11,11,15.683,25.123,0.9995,0.9995,27,0,27,17,21,20,20,0.011515,0.008898,0.026635,1,1,1,2115.4
round_robin,1,12,1,15.537,25.123,0.9995,0.9995,27,0,27,17,21,21,20,0.011514,0.008463,0.026635,1,1,1,2115.4
round_robin,1,13,11,15.357,24.637,0.9996,0.9996,27,0,27,18,25,24,24,0.011514,0.008463,0.026095,1,1,1,2115.4
round_robin,1,14,1,15.875,25.44,0.9996,0.9996,27,0,27,20,25,25,24,0.011634,0.009018,0.026974,1,1,1,2115.4
round_robin,1,15,11,15.466,25.032,0.9997,0.9997,27,0,27,21,29,28,28,0.011459,0.008399,0.02654,1,1,1,2115.4
round_robin,1,16,1,15.599,25.288,0.9997,0.9997,27,0,27,23,29,29,28,0.011626,0.008364,0.026806,1,1,1,2115.4
round_robin,1,17,11,15.561,25.237,0.9998,0.9998,27,0,27,25,33,32,32,0.01157,0.008357,0.026756,1,1,1,2115.4
round_robin,1,18,1,15.672,25.546,0.9998,0.9998,27,0,27,26,33,33,32,0.011474,0.008433,0.02711,1,1,1,2115.4
round_robin,1,19,11,15.672,25.546,0.9998,0.9998,27,0,27,26,37,36,36,0.011474,0.008433,0.02711,1,1,1,2115.4
round_robin,1,20,1,15.593,25.078,0.9998,0.9998,28,0,27,28,37,37,36,0.011762,0.008459,0.026558,1,1,1,2115.4
round_robin,1,21,11,15.259,24.242,0.9999,0.9999,29,0,27,29,41,40,40,0.011766,0.008383,0.025628,1,1,1,2115.4
round_robin,1,22,1,15.235,24.278,0.9999,0.9999,31,0,27,31,41,41,40,0.011592,0.008424,0.025688,1,1,1,2115.4
round_robin,1,23,11,15.344,24.648,0.9999,0.9999,32,0,27,32,45,44,44,0.011515,0.008409,0.026107,1,1,1,2115.4
round_robin,1,24,1,15.62,24.62,0.9999,0.9999,34,0,27,34,45,45,44,0.011481,0.009298,0.02608,1,1,1,2115.4
round_robin,1,25,1,15.625,24.622,1.0,1.0,34,0,27,34,45,45,45,0.011498,0.009298,0.02608,1,1,1,2115.4
round_robin,1,26,10,15.259,24.467,0.9999,0.9999,36,0,27,36,49,48,48,0.011498,0.00837,0.025908,1,1,1,2115.4
