algorithm,metric,mean,std,min,max
round_robin,throughput,59.7778,31.0959,0.0,90.0
round_robin,avg_rtt,22.9114,1.1685,17.957,24.25
round_robin,p95_rtt,26.3394,0.4237,25.286,27.381
round_robin,fairness_index,1.0,0.0,0.9999,1.0
round_robin,max_imbalance,17.7889,17.2856,0.0,97.0
round_robin,decision_latency_us,2354.5333,25.3178,2327.6,2388.3
weighted_round_robin,throughput,60.3,26.7051,0.0,88.0
weighted_round_robin,avg_rtt,21.6371,1.6421,19.733,29.09
weighted_round_robin,p95_rtt,26.6892,2.288,25.339,40.911
weighted_round_robin,fairness_index,1.0,0.0,0.9997,1.0
weighted_round_robin,max_imbalance,28.0333,86.5184,0.0,1154.0
weighted_round_robin,decision_latency_us,2420.1,77.7632,2351.5,2528.5
random,throughput,61.4389,31.2705,0.0,89.0
random,avg_rtt,23.4585,0.7736,22.591,28.836
random,p95_rtt,26.5982,1.8282,25.389,40.158
random,fairness_index,0.9982,0.003,0.9861,1.0
random,max_imbalance,75.8278,120.8073,0.0,1199.0
random,decision_latency_us,2327.2333,206.2669,2038.3,2500.9
least_connections,throughput,62.5833,28.1536,0.0,92.0
least_connections,avg_rtt,23.3958,1.052,22.347,28.297
least_connections,p95_rtt,26.6178,2.5628,25.13,39.587
least_connections,fairness_index,0.9984,0.0038,0.9659,1.0
least_connections,max_imbalance,44.8667,87.6273,0.0,1169.0
least_connections,decision_latency_us,1980.3,234.5976,1774.8,2307.6
hash_based,throughput,63.5667,30.1303,0.0,92.0
hash_based,avg_rtt,23.1337,0.3484,22.205,23.862
hash_based,p95_rtt,26.0313,0.43,24.908,27.073
hash_based,fairness_index,0.9972,0.0044,0.9682,1.0
hash_based,max_imbalance,90.95,83.8145,0.0,1143.0
hash_based,decision_latency_us,1927.2,146.2254,1771.8,2122.3
ecmp,throughput,60.9111,29.8367,0.0,92.0
ecmp,avg_rtt,22.0437,1.4562,18.066,23.853
ecmp,p95_rtt,26.1712,0.3694,25.114,27.001
ecmp,fairness_index,1.0,0.0,0.9997,1.0
ecmp,max_imbalance,34.0722,28.1373,0.0,127.0
ecmp,decision_latency_us,1958.8667,76.0214,1853.5,2028.7
drl,throughput,62.8444,31.7356,0.0,90.0
drl,avg_rtt,23.1716,0.3194,22.36,24.017
drl,p95_rtt,26.1172,0.3686,25.082,27.077
drl,fairness_index,0.9387,0.1518,0.3333,1.0
drl,max_imbalance,122.4056,130.2985,0.0,1224.0
drl,decision_latency_us,2097.5333,217.749,1813.1,2340.0
